File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_0_doy2015090_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-03-31,1412.0,0.2043,1.0,"(0.2043,1.0)",0.6672,0.1992,0.0397,0.8446,1.0,0.6537,0.2043,0.5027
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_1_doy2015090_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-03-31,1410.0,0.0002,0.4727,"(0.0002,0.4727)",0.2033,0.1201,0.0144,0.2996,0.4727,0.2039,0.0002,0.0993
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_2_doy2015090_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-03-31,1371.0,0.0002,0.3014,"(0.0002,0.3014)",0.0748,0.068,0.0046,0.116,0.2624,0.0557,0.0002,0.0183
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_0_doy2015091_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-01,5044.0,0.1838,1.0,"(0.1838,1.0)",0.6589,0.1917,0.0368,0.8164,1.0,0.6556,0.1838,0.5096
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_1_doy2015091_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-01,5036.0,0.0002,0.4961,"(0.0002,0.4961)",0.2008,0.1175,0.0138,0.2866,0.4961,0.1947,0.0002,0.1045
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_2_doy2015091_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-01,4991.0,0.0002,0.3186,"(0.0002,0.3186)",0.0726,0.0634,0.004,0.1116,0.2495,0.0554,0.0002,0.0194
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_0_doy2015092_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-02,4889.0,0.1838,1.0,"(0.1838,1.0)",0.6536,0.1948,0.038,0.8146,1.0,0.6496,0.1838,0.4991
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_1_doy2015092_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-02,4884.0,0.0002,0.4901,"(0.0002,0.4901)",0.2002,0.1163,0.0135,0.2843,0.4901,0.1968,0.0002,0.1047
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_2_doy2015092_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-02,4841.0,0.0002,0.3186,"(0.0002,0.3186)",0.0758,0.0654,0.0043,0.1169,0.2604,0.0577,0.0002,0.0206
SPL3SMP_006_Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction_0_doy2015093_aid0001,Soil_Moisture_Retrieval_Data_AM_landcover_class_fraction,aid0001,2015-04-03,3900.0,0.1838,1.0,"(0.1838,1.0)",0.6525,0.1901,0.0361,0.8059,1.0,0.6491,0.1838,0.5042
