offset_x,offset_y,1996-08-30 00:00:00,1998-09-18 00:00:00,1999-09-02 00:00:00,2000-08-14 00:00:00,2003-08-18 00:00:00,2004-09-03 00:00:00,2005-08-19 00:00:00,2006-08-22 00:00:00,2007-08-17 00:00:00,2008-08-25 00:00:00,2009-08-17 00:00:00,2010-08-23 00:00:00,2011-08-14 00:00:00,2012-08-24 00:00:00,2013-08-26 00:00:00,2014-08-24 00:00:00,2015-08-23 00:00:00,2016-08-22 00:00:00,2017-08-21 00:00:00,2018-08-20 00:00:00,2019-08-19 00:00:00
0,0,26,45,37,35,37,42,43,-999,39,40,44,47,45,34.5,45,50,42,40,41,45,41
0,10,34,43,43,36,43,43,43,-999,42,43,41,38,39,48,31,43,41,44,49,48,33
0,20,34,44,41,37,39,48,39,-999,39,34,35,47,37,39,37,43,41,42,46,45,39
0,30,33,41,34,31,42,38,35,-999,36,33,36,44,41,40,40,42,33,47,40,48,41
0,40,29,39,36,31,37,44,39,-999,42,41,32,46,35,41,39,34,41,38,39,44,49
0,50,33,41,40,35,37,43,38,-999,44,40,35,47,45,40,48,38,45,37,47,46,46
0,60,31,39,35,35,38,42,35,-999,39,39,34,44,45,47.5,32,42,40,39,44,54,49
0,70,41,48,43,40,36,43,40,-999,41,43,33,43,42,44,39,43,41,43,39,43,43
0,80,29,40,36,35,41,42,40,-999,43,41,31,42,38,53,41,42,30,42,46,48,47
0,90,34,45,40,39,41,41,39,-999,34,41,41,51,42,46,33,47,43,38,46,47,29
0,100,31,41,39,39,37,39,38,-999,45,41,42,41,40,44,32,47,41,43,45,41,47
10,0,38,41,46,38,39,50,48,-999,46,36,40,43,48,48,30,41,43,45,43,47,46
10,10,38,46,35,39,36,45,39,47,43,35,37,44,38,44,35,33,35,45,43,47,49
10,20,38,50,49,39,36,49,44,42,46,40,44,46,43,44.5,37,39,38,38,40,41,46
10,30,39,50,44,34,38,40,39,47,43,34,31,39,39,40,45,38,37,42,37,47,42
10,40,34,34,32,30,40,40,36,36,47,21,43,47,40,41.5,33,46,36,40,42,43,48
10,50,32,37,45,34,40,36,40,42,40,33,22,44,47,54,36,38,40,44,44,52,40
10,60,40,40,43,42,47,43,44,34,38,43,29,52,45,44.5,35,44,39,44,50,48,48
10,70,33,50,49,39,37,49,39,42,40,34,31,44,37,35,30,41,55,39,39,45,32
10,80,31,46,31,36,41,41,38,42,43,38,35,46,39,39,34,40,44,42,43,50,37
10,90,36,42,40,35,40,43,40,27,39,40,33,55,42,40,22,37,41,46,37,43,41
10,100,34,45,37,37,42,48,40,37,43,40,42,46,35,30,37,51,38,39,37,43,42
20,0,34,45,37,33,44,48,41,-999,43,34,45,48,39,38.5,38,42,35,41,42,43,44
20,10,31,45,35,35,38,44,41,33,36,40,38,46,43,39,28,51,42,46,49,48,48
20,20,33,37,38,26,42,42,45,47,45,38,40,52,37,42,37,40,38,39,45,47,50
20,30,32,44,42,28,42,46,41,52,46,46,35,43,45,43,33,43,36,43,44,37,49
20,40,36,39,41,30,41,33,42,35,47,45,38,43,37,40.5,32,41,38,53,45,50,43
20,50,35,45,40,28,40,42,45,50,41,32,38,49,41,39,32,40,37,41,47,36,41
20,60,31,42,38,38,31,41,38,44,42,35,44,47,48,61,37,44,41,41,44,50,48
20,70,35,43,40,33,40,46,41,48,49,39,40,46,41,40,34,47,35,41,43,41,39
20,80,32,48,38,34,51,39,40,34,45,38,36,44,43,45,40,43,40,48,44,33,52
20,90,34,48,36,36,35,45,45,42,43,37,33,54,37,40,32,47,29,40,37,44,47
20,100,36,45,50,38,40,54,46,43,46,40,42,43,42,45,30,41,40,43,39,42,47
30,0,35,41,35,34,41,36,40,-999,42,37,44,52,35,39.5,37,44,32,45,44,45,39
30,10,31,50,39,34,37,30,38,36,45,36,47,50,41,41,32,40,32,48,41,40,42
30,20,32,44,40,32,48,45,40,42,42,43,40,49,45,44,35,47,37,47,46,48,50
30,30,31,42,40,34,36,45,42,42,41,31,36,42,40,59,33,39,51,40,47,47,42
30,40,34,45,38,36,36,45,39,49,47,31,37,49,39,43,35,41,40,45,44,48,46
30,50,35,41,39,28,37,45,41,39,45,39,35,46,39,43,38,46,38,42,43,46,50
30,60,35,43,38,36,47,40,40,51,51,38,42,48,39,43,33,45,43,47,41,50,48
30,70,36,45,40,27,42,42,42,41,45,41,39,55,33,37,42,44,35,40,36,50,38
30,80,33,48,40,38,35,48,42,38,45,41,46,46,41,49,34,38,45,46,42,46,47
30,90,31,48,43,37,36,42,32,39,51,41,36,44,41,33,36,43,39,44,43,44,49
30,100,34,44,42,36,40,43,47,45,45,38,37,40,47,44,33,39,45,45,46,49,60
40,0,35,36,38,35,36,37,39,-999,41,38,41,46,39,46,38,43,39,40,45,42,46
40,10,33,43,43,35,34,43,37,37,43,38,42,51,42,41,40,50,47,39,32,41,42
40,20,29,45,37,35,39,49,39,46,43,40,35,48,46,52,32,51,39,46,50,52,48
40,30,33,49,36,36,32,47,42,49,46,38,38,46,39,44,40,50,39,48,45,41,40
40,40,28,45,45,34,46,41,43,45,53,38,32,48,43,37,34,45,36,47,39,37,42
40,50,32,40,37,31,43,42,36,41,48,39,38,43,41,36,32,41,42,41,44,42,56
40,60,38,51,40,41,39,49,48,38,46,43,45,42,43,43,38,42,36,46,44,44,39
40,70,36,45,35,31,36,51,47,49,40,47,37,36,35,37,29,47,30,43,39,39,48
40,80,33,50,37,38,32,44,44,37,47,41,37,45,41,45,45,42,37,49,42,51,47
