offset_x,offset_y,1996-09-01 00:00:00,1997-09-17 00:00:00,1998-09-14 00:00:00,1999-08-31 00:00:00,2000-08-17 00:00:00,2001-08-26 00:00:00,2002-08-18 00:00:00,2003-08-21 00:00:00,2004-09-02 00:00:00,2005-08-21 00:00:00,2006-08-23 00:00:00,2007-08-27 00:00:00,2008-08-27 00:00:00,2009-08-19 00:00:00,2010-08-25 00:00:00,2011-08-16 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-25 00:00:00,2015-08-25 00:00:00,2016-08-25 00:00:00,2017-08-24 00:00:00,2018-08-23 00:00:00,2019-08-22 00:00:00
0,0,29,30,31,32,27,33,33,31,32,28,43,27,32,27,32,35,53,37,31,37,39,35,43,39
0,10,48,46,50,48,36,43,41,41,46,36,54,23,38,33,30,34,46,41,34,39,41,43,38,41
0,20,49,45,50,45,45,51,44,44,49,43,46,24,48,43,30,31,29,31,37,36,38,37,36,36
0,30,29,29,51,49,35,37,36,35,43,29,37,25,37,30,31,28,25,30,29,35,31,34,34,39
0,40,29,35,36,35,29,28,29,31,36,33,37,26,35,30,36,33,31,34,27,29,33,34,32,41
0,50,22,22,35,35,30,30,29,32,35,29,34,29,28,26,38,29,27,43,29,25,39,30,24,31
0,60,24,25,30,27,22,25,28,26,32,26,33,32,28,23,25,25,26,31,39,28,34,36,31,34
0,70,23,24,37,33,29,29,25,30,35,26,33,33,24,24,33,28,36,28,30,29,30,34,32,40
0,80,22,24,30,27,30,26,26,26,30,26,30,40,24,21,23,25,30,35,30,41,38,35,31,36
0,90,29,28,32,28,23,25,26,26,37,25,41,33,25,24,34,29,38,36,38,38,47,28,39,45
0,100,32,34,30,35,29,30,32,32,35,26,36,27,29,23,49,44,34,39,50,58,53,55,47,49
10,0,36,36,44,38,35,38,36,32,40,33,33,29,40,36,40,45,51,35,44,42,54,54,57,55
10,10,33,34,32,36,36,37,34,37,42,32,47,23,35,30,33,30,48,36,33,34,39,37,51,45
10,20,41,40,44,41,35,34,36,36,45,34,45,22,37,34,34,42,37,31,34,43,41,31,38,37
10,30,35,37,57,58,46,57,53,50,59,34,50,37,38,33,40,35,28,31,40,37,46,43,32,31
10,40,38,43,45,45,35,40,39,40,49,32,40,25,37,30,31,29,28,41,26,28,33,34,24,30
10,50,22,22,39,32,31,30,31,27,33,27,34,28,27,28,31,25,32,41,30,27,40,33,28,30
10,60,26,28,35,30,24,25,25,28,48,35,32,32,27,25,20,24,34,35,30,36,31,32,30,28
10,70,21,24,46,43,38,41,38,38,43,34,40,37,34,27,28,22,35,28,30,41,30,52,45,52
10,80,31,37,37,40,36,28,31,28,34,24,30,34,32,21,33,28,41,31,40,45,52,51,37,46
