offset_x,offset_y,1996-09-01 00:00:00,1997-09-16 00:00:00,1998-09-13 00:00:00,1999-08-30 00:00:00,2000-08-16 00:00:00,2001-08-23 00:00:00,2002-08-18 00:00:00,2003-08-22 00:00:00,2004-09-01 00:00:00,2005-08-22 00:00:00,2006-08-24 00:00:00,2007-08-28 00:00:00,2009-08-18 00:00:00,2010-08-26 00:00:00,2011-08-15 00:00:00,2012-08-22 00:00:00,2013-08-27 00:00:00,2014-08-25 00:00:00,2015-08-26 00:00:00,2016-08-24 00:00:00,2017-08-23 00:00:00,2018-08-22 00:00:00,2019-08-21 00:00:00
0,0,58,69,72,72,61,72,68,67,76,55,72,71,66,63,74,74,80,68,79,58,74,73,82
0,10,64,66,64,60,62,65,60,54,69,56,70,63,59,58,69,91,71,76,62,68,64,63,72
0,20,58,58,61,60,53,60,55,60,61,56,66,60,57,64,62,73.5,70,67,57,76,64,48,73
0,30,61,64,60,61,51,50,50,48,60,44,57,49,48,58,58,59,70,72,80,77,74,69,77
0,40,60,60,63,63,56,58,58,58,63,62,61,54,56,58,58,78,67,79,79,70,76,56,69
0,50,67,68,65,61,56,51,49,47,60,45,56,53,50,68,61,66,68,81,79,73,70,69,80
0,60,61,64,66,72,62,63,61,61,74,55,65,66,55,79,55,70,64,77,72,73,67,67,74
0,70,70,72,72,72,66,68,66,66,72,63,72,62,62,64,80,63,63,83,76,72,78,79,70
0,80,70,65,69,76,61,69,69,67,78,56,75,60,62,53,72,79,67,80,78,65,75,63,81
0,90,65,65,80,73,60,60,63,61,79,57,66,58,53,63,70,60,64,67,64,72,71,67,61
0,100,72,70,80,78,66,65,59,61,73,63,65,63,60,58,63,66.5,73,65,75,71,69,58,64
10,0,53,55,60,64,51,60,55,58,64,55,60,58,56,62,56,65,75,65,67,72,71,61,64
10,10,62,69,63,58,62,61,71,49,64,56,59,54,52,70,56,62,74,66,74,66,67,61,64
10,20,53,55,61,63,60,65,53,55,59,56,62,50,54,78,61,58,69,59,69,72,54,58,56
10,30,61,69,62,64,63,60,63,52,58,44,72,51,44,67,60,72,70,74,66,79,68,73,74
10,40,70,68,59,76,62,67,66,68,66,62,70,49,65,86,73,66.5,57,77,72,73,73,78,83
10,50,66,63,66,66,57,58,51,63,58,45,64,52,51,67,61,84,80,73,79,68,87,84,83
10,60,52,71,56,59,50,60,58,61,78,55,53,45,63,75,68,92,76,80,85,73,69,59,89
10,70,69,73,64,62,48,60,68,71,57,63,72,48,60,64,59,68,76,65,62,69,75,59,57
10,80,62,78,68,67,56,57,54,52,85,56,55,52,66,76,51,85,77,74,71,67,69,74,70
10,90,65,69,71,69,63,65,54,61,76,57,64,57,51,66,63,64,68,66,71,59,63,73,78
10,100,70,80,82,84,61,70,77,83,72,63,70,59,66,68,60,65,78,69,78,77,74,74,80
20,0,78,69,57,85,63,60,63,54,69,72,62,52,64,76,56,60,73,60,64,75,64,53,57
20,10,59,67,59,58,54,70,51,49,56,52,68,45,52,65,48,65,74,61,63,76,58,62,77
20,20,63,62,60,70,56,57,58,45,60,57,67,48,52,67,72,49,71,53,60,73,76,60,67
20,30,63,76,66,64,65,65,69,65,80,46,72,59,63,55,64,72,76,74,69,73,66,71,76
20,40,65,59,64,58,56,65,55,54,61,57,66,50,56,60,56,67,71,74,77,74,66,78,87
20,50,53,59,65,65,59,60,53,66,60,43,62,54,45,57,81,63,72,72,82,54,84,82,84
20,60,60,60,74,78,60,67,58,65,61,50,69,46,52,68,78,62,74,72,64,65,64,63,68
20,70,61,75,61,58,60,58,61,56,68,51,67,57,48,60,52,57,65,63,66,63,65,63,61
20,80,53,63,60,63,50,52,51,53,71,47,57,49,53,66,53,57,71,66,76,69,71,74,67
20,90,58,58,78,80,64,77,63,53,62,59,68,51,67,72,63,70,83,79,81,68,85,80,76
20,100,65,63,77,88,72,70,69,52,77,48,76,58,51,67,47,60,78,60,70,65,68,64,72
30,0,69,54,71,69,71,65,76,58,76,50,68,50,57,62,56,60,76,65,66,71,62,57,62
30,10,65,63,71,69,61,60,54,48,71,44,52,71,53,60,55,64,63,68,65,69,66,70,77
30,20,62,71,74,54,60,65,67,56,81,53,75,64,64,65,60,74,73,68,83,72,70,73,68
30,30,68,58,67,72,73,72,79,63,79,59,76,52,69,73,60,67,83,69,74,70,85,84,76
30,40,60,61,65,66,51,57,53,67,68,62,72,54,53,57,59,66,62,74,91,69,78,85,78
30,50,60,60,75,76,63,68,61,61,64,46,60,59,55,68,52,76,76,64,79,85,79,67,69
30,60,58,60,72,71,52,60,43,65,60,51,62,55,50,54,77,72,69,70,73,79,64,65,60
30,70,69,62,65,65,58,59,66,58,69,42,53,52,46,65,70,91,71,74,77,85,65,73,64
30,80,59,56,62,60,73,50,47,47,77,58,64,54,52,65,59,67,62,80,78,76,74,69,90
30,90,62,83,77,80,74,52,60,69,68,52,70,57,48,58,49,73,73,77,77,83,83,78,80
30,100,59,60,75,66,58,61,52,50,59,61,64,50,45,72,63,67,69,64,65,63,66,69,75
40,0,57,71,73,57,54,68,61,71,69,62,56,65,70,76,55,61,70,63,79,71,82,62,57
40,10,80,66,72,80,67,68,67,63,62,63,66,74,50,77,67,64,74,62,71,65,71,63,66
40,20,62,71,78,70,65,65,60,61,75,67,60,64,52,56,67,66,59,74,76,76,70,74,76
40,30,57,53,79,81,75,62,74,58,80,53,75,66,72,75,59,70,60,78,81,75,76,76,62
40,40,81,81,72,81,75,75,73,59,78,50,71,68,70,78,66,81,72,70,74,71,77,67,71
40,50,74,70,76,73,59,62,56,61,67,53,59,54,62,80,71,62,70,70,65,80,74,70,59
40,60,59,63,62,70,55,59,71,67,70,75,64,60,69,67,55,68,73,68,72,81,71,71,80
40,70,77,66,61,70,55,68,51,45,58,54,56,47,62,63,73,61,77,81,84,82,81,65,83
40,80,68,71,77,75,66,74,74,73,81,49,74,61,62,57,77,69,66,78,91,67,89,75,68
40,90,60,60,62,73,49,61,51,72,61,46,71,44,43,65,75,80,92,62,74,75,66,78,82
40,100,52,63,66,69,51,55,52,51,63,63,57,60,51,74,75,86,81,85,89,89,79,84,86
50,0,71,52,64,69,67,68,46,50,57,70,71,57,68,69,55,64.5,59,64,62,67,64,60,56
50,10,72,61,83,66,56,52,69,65,81,60,82,53,53,60,56,64,63,62,70,77,69,63,71
50,20,76,67,65,81,66,69,73,67,61,47,58,72,70,70,64,59,69,63,66,68,74,59,70
50,30,60,64,71,68,51,55,54,66,67,54,73,63,54,60,56,59,74,75,69,76,78,64,76
50,40,63,64,66,63,59,60,54,70,69,62,59,53,58,73,59,78,71,67,68,84,74,72,73
50,50,63,66,71,73,64,63,62,64,70,54,62,54,65,70,67,70,72,67,70,85,75,71,70
50,60,78,77,80,69,60,65,66,69,75,44,75,73,62,65,68,69,89,85,88,69,77,73,78
50,70,73,76,81,68,67,75,65,48,63,51,68,61,70,64,49,75,67,64,68,74,72,79,76
50,80,62,66,83,82,73,74,87,84,78,60,83,60,49,71,55,76,71,60,79,83,57,73,58
50,90,66,60,69,63,48,63,52,62,69,46,60,68,56,67,66,70,77,70,70,64,74,69,67
50,100,56,56,56,74,41,43,52,50,64,39,56,53,52,72,58,69,75,74,73,73,71,62,68
60,0,56,61,74,62,54,60,58,68,69,59,61,56,70,52,61,66,68,64,69,68,78,65,71
60,10,59,77,78,74,66,65,73,74,74,52,83,41,70,52,57,60,70,65,66,73,73,60,73
60,20,57,73,78,65,60,57,57,59,61,48,67,52,53,65,52,66,79,67,69,68,80,63,82
60,30,78,71,65,61,57,70,53,67,65,47,71,60,55,64,64,78,79,76,81,59,79,63,80
60,40,68,60,71,74,61,60,56,64,71,53,72,51,55,70,64,62,81,82,90,70,82,78,91
60,50,66,63,73,79,71,68,66,48,79,65,63,66,80,60,77,72,70,83,74,71,79,72,73
60,60,64,55,74,65,58,47,48,52,70,42,72,70,40,74,58,80,77,77,79,74,76,68,88
60,70,57,61,74,71,51,62,43,66,73,67,69,49,65,63,52,75,82,69,71,94,78,62,73
60,80,66,77,68,78,66,75,55,56,62,60,63,55,59,53,77,70,77,78,89,76,79,59,80
60,90,68,71,70,70,60,77,63,56,64,60,61,69,62,71,58,76,63,87,87,87,88,73,77
60,100,66,64,62,76,48,46,68,61,65,57,68,50,50,83,78,72,87,78,86,83,85,70,87
70,0,48,60,60,64,56,73,68,54,55,52,77,52,71,60,69,71,65,73,75,69,82,71,80
70,10,62,63,75,63,60,52,53,56,60,70,66,52,57,54,61,66,68,59,67,75,72,64,75
70,20,60,60,63,67,57,70,65,48,68,45,70,64,54,50,54,60,68,79,73,77,63,71,70
70,30,72,70,73,67,50,75,75,66,67,59,78,72,63,72,66,68,75,73,78,72,65,67,74
70,40,58,66,73,70,52,58,67,69,60,44,79,49,50,57,58,89,74,71,76,75,74,67,67
70,50,65,66,66,70,54,52,54,56,59,69,73,62,61,55,53,82,85,67,80,65,63,61,65
70,60,64,64,64,80,57,55,47,72,69,65,81,54,61,72,64,59,67,57,68,63,82,72,70
70,70,64,64,70,70,56,60,60,72,78,60,76,59,65,63,66,72,75,81,77,77,80,77,71
70,80,70,70,70,68,66,56,49,53,68,52,69,60,60,78,69,86,77,70,64,74,62,62,79
70,90,69,74,78,83,77,54,67,82,56,54,84,81,66,65,75,63,65,65,67,73,73,74,82
70,100,70,56,60,58,55,55,72,60,54,46,75,46,46,62,65,64.5,70,66,69,67,67,64,68
80,0,71,64,77,77,66,65,63,61,71,55,64,59,57,60,70,67,71,67,73,74,79,67,75
80,10,52,50,67,65,48,59,61,55,53,48,68,59,71,64,59,62,67,69,79,62,74,64,60
80,20,64,64,66,69,55,69,61,62,67,49,51,55,61,67,56,62.5,68,65,75,72,67,61,63
80,30,71,71,74,77,71,60,54,64,75,48,57,65,70,54,53,63,70,66,74,78,61,70,74
80,40,64,64,73,54,61,50,49,50,67,48,55,64,48,57,72,59,84,64,83,77,76,70,80
80,50,61,61,70,71,56,50,47,41,59,54,74,50,72,54,52,76.5,67,61,63,83,74,55,66
80,60,69,59,77,70,72,58,49,69,69,63,72,67,58,59,77,81,75,78,63,72,68,74,60
80,70,63,63,75,84,70,73,65,66,58,75,60,68,52,62,64,68,65,79,74,63,63,73,74
80,80,72,72,87,86,63,55,79,82,62,63,59,68,62,64,76,74,68,59,69,75,82,70,63
80,90,59,75,72,70,65,54,56,53,77,49,64,70,67,62,79,60,78,76,85,55,77,72,75
80,100,74,77,82,68,74,68,68,53,66,37,72,50,62,63,71,68,62,80,77,77,67,69,68
90,0,66,56,70,70,60,52,59,71,57,47,64,54,63,68,61,66,70,70,74,74,77,75,81
90,10,51,56,75,67,57,60,65,54,72,59,70,64,56,70,71,64,78,66,78,73,66,75,82
90,20,72,81,80,85,61,60,62,80,79,66,57,70,74,63,46,76,71,67,63,65,64,75,72
90,30,55,61,72,69,63,55,53,46,63,60,63,68,47,60,60,66,79,71,69,74,71,81,93
90,40,73,60,72,77,63,72,59,65,70,66,71,54,64,60,71,54,76,66,63,69,66,74,78
90,50,56,60,71,75,63,65,60,62,65,54,66,68,52,52,63,84,72,58,70,72,74,69,87
90,60,79,77,87,83,80,59,70,67,62,71,65,82,78,60,56,78,80,64,72,80,81,62,75
90,70,52,60,76,86,75,79,84,80,65,46,74,55,50,63,61,61,78,78,63,61,86,70,80
90,80,76,80,86,89,72,78,56,73,59,62,67,71,63,60,61,64,75,71,77,62,71,67,69
90,90,67,63,65,70,71,59,57,56,69,64,63,46,63,60,57,82,72,66,58,55,62,52,69
90,100,62,65,65,69,54,61,68,66,70,52,71,72,53,64,60,62,71,73,75,72,71,66,74
100,0,66,64,70,67,58,59,57,58,62,65,65,56,53,72,65,68,64,76,81,79,78,78,67
100,10,57,56,75,75,59,68,60,64,71,53,67,58,61,60,66,88,79,69,57,53,56,55,57
100,20,56,62,66,68,56,55,54,53,61,60,58,51,47,62,58,65,74,67,65,62,65,70,59
100,30,54,59,71,72,67,60,58,63,63,62,64,56,52,67,61,59,70,65,71,76,74,70,75
100,40,74,75,83,82,77,76,75,74,82,74,77,79,77,64,60,61,78,54,63,63,76,70,71
100,50,57,63,67,72,51,50,56,56,58,47,58,61,48,58,64,57,66,58,74,81,72,55,74
100,60,66,69,71,73,68,60,65,63,67,48,72,49,61,57,66,50,70,73,62,65,80,60,75
100,70,65,67,76,77,65,61,65,64,64,53,65,54,57,58,55,89,79,64,64,69,63,65,75
