offset_x,offset_y,1996-08-31 00:00:00,1997-09-15 00:00:00,1998-09-14 00:00:00,1999-09-01 00:00:00,2000-08-17 00:00:00,2001-08-23 00:00:00,2002-08-18 00:00:00,2003-08-20 00:00:00,2004-09-01 00:00:00,2005-08-20 00:00:00,2006-08-23 00:00:00,2007-08-29 00:00:00,2008-08-26 00:00:00,2009-08-18 00:00:00,2010-08-25 00:00:00,2011-08-15 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-26 00:00:00,2015-08-27 00:00:00,2016-08-24 00:00:00,2017-08-23 00:00:00,2018-08-22 00:00:00,2019-08-21 00:00:00
0,0,60,59,66,69,55,62,56,57,66,51,60,51,63,56,57,64,68,64,70,69,69,71,62,68
0,10,89,66,70,68,57,59,59,61,65,60,65,60,62,73,61,63,63,61,66,57,64,59,48,59
0,20,63,63,69,52,59,61,58,55,66,54,64,62,61,62,71,65,60,78,66,69,70,72,61,65
0,30,66,66,55,58,41,52,48,51,56,37,59,41,43,55,54,54,66,64,56,59,63,61,69,69
0,40,56,61,62,65,52,58,55,57,63,55,62,59,56,63,77,56,81,74,51,49,49,63,53,56
0,50,69,60,70,63,60,57,54,57,62,56,65,57,57,75,61,61,55,68,58,62,57,71,60,62
0,60,60,77,64,59,55,53,51,57,56,54,66,60,48,75,81,63,67.5,74,65,69,68,61,63,63
0,70,82,57,57,53,47,53,43,54,64,48,51,45,48,90,59,70,68,91,74,73,69,78,58,64
0,80,58,98,69,64,50,52,52,54,64,43,56,57,40,61,53,68,65,92,84,67,79,70,63,57
0,90,75,62,70,59,45,46,46,37,56,38,53,44,43,95,60,76,67,96,72,71,63,63,53,57
0,100,63,125,72,70,56,60,39,55,64,47,64,56,45,75,61,63,65,78,64,66,72,66,60,59
10,0,60,63,71,64,50,52,46,47,54,50,54,46,55,54,70,71,73.5,61,73,76,67,79,66,76
10,10,70,69,67,64,55,59,46,47,55,41,63,41,72,64,59,50,52.5,57,62,41,61,54,49,56
10,20,57,61,66,57,54,58,56,51,61,54,63,57,60,50,63,61,65.5,74,71,68,72,63,59,50
10,30,56,56,56,49,36,47,45,56,62,42,54,54,46,46,77,65,85,82,62,54,62,45,63,63
10,40,58,59,61,62,44,56,47,36,47,33,59,41,46,63,59,58,73,66,54,46,51,55,63,46
