offset_x,offset_y,1996-08-31 00:00:00,1997-09-16 00:00:00,1998-09-14 00:00:00,1999-08-30 00:00:00,2003-08-19 00:00:00,2005-08-20 00:00:00,2006-08-24 00:00:00,2007-08-29 00:00:00,2008-08-27 00:00:00,2009-08-18 00:00:00,2010-08-24 00:00:00,2011-08-16 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-26 00:00:00,2015-08-25 00:00:00,2016-08-23 00:00:00,2017-08-22 00:00:00,2018-08-21 00:00:00,2019-08-21 00:00:00
0,0,30,32,38,37,26,29,31,20,46,28,35,22,43,38,30,31,30,32,26,34
0,10,31,37,36,40,26,21,27,23,26,24,50,37,29,46,44,35,33,49,38,40
0,20,30,33,40,47,35,30,38,30,42,35,57,31,58,53,50,49,57,51,51,42
0,30,29,34,46,42,33,34,31,30,37,47,45,37,46.5,42,37,35,42,40,51,48
0,40,26,34,40,34,24,29,30,41,55,31,58,47,32,25,48,43,45,45,42,47
0,50,48,50,54,57,47,44,44,46,48,47,58,36,44,52,52,38,44,52,50,41
0,60,29,46,53,50,43,45,45,43,41,46,38,39,41.5,39,31,47,45,30,40,43
0,70,41,44,42,38,32,32,37,30,30,32,35,50,34.5,44,32,50,45,37,38,21
0,80,30,39,46,41,34,23,29,46,41,39,43,44,49,50,27,45,36,54,37,45
0,90,34,44,42,38,30,32,36,33,36,33,34,33,45.5,51,32,45,43,40,37,38
0,100,30,32,39,41,34,29,39,35,31,37,34,44,34,35,41,39,47,40,41,46
10,0,29,40,46,35,44,29,36,28,40,31,38,31,31,39,35,29,26,36,26,28
10,10,29,27,45,44,36,37,48,34,48,35,31,42,47,35,49,43,52,46,44,42
10,20,30,34,43,32,31,33,48,29,50,61,55,39,47,35,45,37,43,50,53,41
10,30,35,41,42,31,26,23,21,24,45,30,60,38,41,47,37,39,46,38,43,49
10,40,34,35,41,37,31,34,41,32,40,31,40,47,47,57,49,31,47,57,50,41
10,50,44,31,42,42,36,27,34,26,37,29,48,32,22,36,55,42,34,43,63,53
10,60,45,38,45,46,44,46,32,21,42,44,42,38,40.5,37,47,32,37,40,39,51
10,70,40,45,35,43,32,22,42,33,53,30,36,30,48.5,32,50,37,59,42,55,47
10,80,30,36,43,35,37,24,36,31,45,37,44,26,46,51,43,28,56,40,38,40
10,90,38,46,47,36,36,32,35,28,45,38,40,37,39,42,34,28,40,34,40,51
10,100,30,30,37,35,31,37,28,23,31,35,33,31,32.5,45,38,41,37,31,34,40
20,0,42,36,42,55,40,24,47,31,43,41,39,35,35,41,49,45,38,35,47,40
20,10,45,37,51,37,35,28,46,31,38,32,40,34,45,34,29,41,44,48,38,36
20,20,35,47,54,46,38,24,41,42,42,32,27,46,41,37,46,42,38,39,41,45
20,30,35,44,47,36,38,47,29,28,46,36,41,38,48,48,62,43,51,69,43,37
20,40,38,45,51,49,44,40,36,31,36,27,52,39,41.5,58,53,43,39,49,31,52
20,50,41,46,46,43,33,19,43,27,42,22,45,48,40,35,34,39,47,47,44,52
20,60,40,44,53,41,34,32,24,31,67,27,36,43,59,57,50,35,41,42,37,59
20,70,50,42,40,39,28,30,24,37,48,22,43,34,47,50,49,49,48,45,41,34
20,80,33,36,44,40,32,32,31,48,47,22,51,31,54,68,33,30,46,36,39,38
20,90,45,41,54,58,26,42,48,32,49,46,48,38,46,57,39,51,45,47,57,49
20,100,29,33,42,37,32,46,39,46,31,32,34,45,44,55,45,34,42,47,40,48
30,0,49,36,41,54,32,27,38,64,36,49,38,36,39,37,43,36,40,37,34,38
30,10,45,44,49,36,36,34,40,32,47,29,47,41,30,37,43,35,38,43,37,31
30,20,44,48,56,50,34,27,59,33,49,26,42,43,25,36,39,48,46,42,43,46
