offset_x,offset_y,1995-07-01 00:00:00,1995-07-17 00:00:00,1995-08-02 00:00:00,1995-08-27 00:00:00,1996-06-26 00:00:00,1996-07-16 00:00:00,1996-08-04 00:00:00,1996-08-18 00:00:00,1997-07-24 00:00:00,1997-08-17 00:00:00,1998-08-21 00:00:00,1999-08-17 00:00:00,2000-08-14 00:00:00,2001-06-20 00:00:00,2001-07-13 00:00:00,2001-08-21 00:00:00,2002-08-28 00:00:00,2003-08-13 00:00:00,2004-08-23 00:00:00,2005-08-23 00:00:00,2006-06-24 00:00:00,2006-08-06 00:00:00,2006-08-24 00:00:00,2007-08-17 00:00:00,2008-08-19 00:00:00,2009-08-14 00:00:00,2010-08-16 00:00:00,2011-08-15 00:00:00,2012-08-14 00:00:00,2013-08-17 00:00:00,2014-08-18 00:00:00,2015-08-21 00:00:00,2016-08-19 00:00:00,2017-08-20 00:00:00,2018-08-19 00:00:00,2019-08-19 00:00:00
0,0,13,23,31,35,20,24,33.5,32.5,34,26,31,25.5,29,1,12,18.5,23,25.5,39,30.5,7,27.5,24,25,31.5,31,41.5,37,31.5,31.5,35.5,35,40,38.5,39.5,40
0,100,10,22,27,30,20.5,26,31,29,29,27,30.5,30.5,36,5,17,26.5,26.5,23.5,42,29.5,8,27.5,29,27,32.5,33,41.5,40.5,39,36,38,39,44,42,39,39.5
0,200,15,29,32,37,25.5,30,37.5,35.5,33,35,39.5,35,33,5.5,14.5,27.5,28,28.5,48,32,11.5,33.5,35,33.5,40.5,40,47.5,48.5,45.5,43.5,35.5,40,45.5,46.5,41.5,48.5
0,300,11,17,21,24,17.5,20,25,24,29,26,36,38,35,4,17,27.5,24,17.5,46,26.5,11.5,24.5,26,24.5,27.5,25,43,45,34,34.5,36,38,46,45.5,38.5,46.5
0,400,5,16,19,22,14.5,17.5,20.5,19,21,21,29.5,29,28.5,2,5.5,14.5,18.5,14.5,30,23.5,5,19.5,19.5,18,16.5,19.5,25,29,26.5,25.5,28.5,22,27.5,27.5,31,24
0,500,11,15,19,21,13.5,18,22.5,23.5,24,22,38,31.5,32.5,9.5,16.5,20,21.5,20,25,18,2,18,20.5,20,14,22,28,31.5,36.5,38,41.5,36,39,42.5
0,600,20,25,27,33,27,35.5,41,41.5,38,40,38,36,29.5,4.5,16,23,29.5,24.5,37.5,25.5,4.5,23.5,24.5,22.5,25.5,26,40.5,44,37,34.5,35.5,37,44.5,44,40.5,45
0,700,20,28,31,37,26.5,30.5,39,35.5,33,30,34,30,33,5.5,17,24,28,31.5,40,27,6,27,28.5,27,34,32.5,39,36.5,36.5,35,37,37.5,43.5,45.5,39,22.5,45,41
0,800,16,28,32,36,22,27.5,36,36,29,33,38,35.5,26,6,17,21.5,24.5,25,33,27.5,-999,26,27,29,37,37.5,45,45.5,40.5,38,36,38,43.5,42.5,42.5,44.5
0,900,18,30,33,36,23.5,28,35,32.5,31,28,28.5,34,26,5,16.5,22,26.5,29,36,24,-999,25,27.5,26.5,26,23.5,30,31.5,31.5,32,39.5,39,43.5,40,41,38.5
