offset_x,offset_y,1996-08-31 00:00:00,1999-08-30 00:00:00,2000-08-14 00:00:00,2001-08-22 00:00:00,2002-08-14 00:00:00,2003-08-23 00:00:00,2004-08-30 00:00:00,2005-08-19 00:00:00,2006-08-26 00:00:00,2007-08-27 00:00:00,2008-08-27 00:00:00,2009-08-18 00:00:00,2010-08-28 00:00:00,2011-08-14 00:00:00,2012-08-28 00:00:00,2013-08-27 00:00:00,2014-08-24 00:00:00,2015-08-28 00:00:00,2016-08-22 00:00:00,2017-08-21 00:00:00,2018-08-20 00:00:00,2019-08-23 00:00:00
0,0,20,38,38,38,12,36,36,48,21,34,35,45,42,-999,-999,-999,59,-999,22,-999,44,39
0,5,30,30,26,26,33,29,31,31,26,42,33,48,53,-999,-999,-999,27,51,25,-999,45,43
0,10,31,33,30,30,12,24,46,42,-999,35,38,44,52,53,-999,48,38,32,47,58,34,36
0,15,50,48,36,50,52,20,50,53,40,46,43,50,40,57,46,23,50,26,42,46,40,20
0,20,35,37,24,27,20,21,35,27,38,40,-999,32,39,61,37.5,35,49,28,34,42,54,40
0,25,30,35,40,36,34,39,39,35,27,34,-999,32,37,42,41,38,37,41,46,45,-999,-999
0,30,34,39,36,22,20,19,35,40,37,59,-999,42,42,57,35,39,31,44,56,67,-999,-999
5,0,44,29,29,41,13,25,25,34,31,31,43,45,43,-999,48.5,32,29,-999,-999,-999,38,37
5,5,37,48,34,26,24,21,40,32,41,40,23,48,58,36,52,-999,33,37,46,51,46,38
5,10,36,41,44,26,32,28,53,33,25,38,40,45,44,45,28,36,43,41,43,32,29,33
5,15,35,35,25,31,26,30,41,40,31,39,26,45,45,50,34.5,46,39,28,32,33,32,20
5,20,37,31,28,21,17,29,39,28,49,39,33,33,39,36,57,23,35,30,37,35,45,18
5,25,38,46,35,40,34,41,41,40,30,39,41,37,45,33,49.5,39,38,34,32,37,42,34
5,30,24,42,44,23,27,20,41,59,40,54,33,41,35,38,24.5,39,42,35,36,42,-999,-999
10,0,40,34,34,41,31,32,33,36,43,30,42,45,42,30,37.5,37,16,-999,-999,-999,43,51
10,5,30,38,46,33,52,32,35,27,46,42,33,42,37,30,49.5,39,32,38,57,39,42,49
10,10,35,32,25,28,18,31,34,30,27,31,47,46,49,36,56,50,32,48,37,37,32,40
10,15,30,33,25,30,28,52,31,32,60,43,28,52,35,31,53,24,34,26,37,32,47,47
10,20,42,43,40,19,35,20,40,32,27,39,27,33,32,36,32,23,34,33,44,37,40,39
10,25,24,24,22,27,22,29,34,23,45,38,44,29,37,46,36,38,28,36,35,38,55,40
10,30,34,40,43,30,18,26,31,30,21,33,42,42,40,46,43,49,42,44,48,54,-999,-999
15,0,41,39,20,37,14,51,51,43,34,37,34,20,49,35,30,40,30,45,44,48,44,32
15,5,32,37,24,32,27,30,35,30,30,32,20,42,36,56,33.5,23,34,31,32,34,37,54
15,10,34,30,24,36,13,27,25,31,28,35,40,46,63,35,28,41,27,53,50,38,38,28
15,15,41,47,45,42,29,64,49,46,47,46,52,47,60,45,76,47,53,49,49,39,62,57
15,20,36,25,22,47,24,38,50,50,44,41,34,30,44,41,41.5,40,46,46,36,39,49,33
15,25,41,42,48,38,17,20,28,29,23,64,30,28,40,41,44,34,54,34,32,41,34,29
15,30,46,30,46,24,17,31,55,38,54,43,27,52,54,53,24.5,52,37,52,40,51,45,37
20,0,48,30,17,26,21,26,40,39,37,55,27,56,-999,36,43.5,-999,51,34,29,40,50,32
20,5,41,27,25,33,21,30,39,36,33,38,30,34,33,39,65,31,56,26,71,32,35,56
20,10,33,32,30,34,24,24,35,47,34,59,27,45,31,48,39.5,23,30,56,59,47,28,50
20,15,50,57,34,52,20,32,34,45,36,37,36,25,28,35,45.5,38,51,46,55,37,48,48
20,20,20,28,23,23,12,27,28,54,29,37,38,37,40,27,30.5,37,48,30,33,35,26,31
20,25,37,24,41,31,11,23,41,56,21,44,30,22,43,31,35,32,35,32,40,35,49,40
20,30,38,23,22,24,13,28,39,33,28,29,33,31,45,36,60,45,26,37,53,38,39,44
25,0,24,43,29,38,14,42,51,50,34,41,55,52,-999,40,64,-999,16,37,30,39,51,31
25,5,40,33,28,40,13,20,36,37,30,36,39,37,-999,49,48.5,36,16,54,36,47,30,28
25,10,32,45,28,29,19,47,38,30,35,58,40,55,44,52,43,31,47,41,29,40,30,37
25,15,26,41,29,22,34,25,36,31,35,41,35,33,44,44,35,33,26,44,32,62,36,31
25,20,26,32,24,21,18,31,34,52,36,59,32,41,42,32,34.5,37,35,28,48,40,45,20
25,25,46,37,37,21,45,39,38,24,25,37,30,20,49,40,43,30,44,26,41,32,40,31
25,30,38,33,30,31,50,36,41,40,56,74,25,33,42,37,43.5,38,31,41,52,48,37,42
30,0,33,33,37,39,38,32,50,50,41,34,39,34,-999,40,-999,20,23,43,35,34,43,30
30,5,20,30,30,30,12,36,36,36,35,44,42,37,-999,48,48,19,14,27,44,43,53,27
30,10,31,41,28,30,23,21,37,36,41,37,37,38,52,42,48.5,39,19,50,37,48,36,41
30,15,32,38,32,35,26,37,38,37,40,56,51,32,49,35,51.5,51,35,37,43,43,28,43
30,20,32,30,23,23,12,30,35,33,29,62,38,16,44,35,45.5,52,37,36,41,40,47,41
30,25,33,35,35,36,18,19,40,40,24,37,35,20,41,34,41,43,35,31,42,61,40,53
30,30,34,30,34,35,32,33,38,36,39,38,49,21,50,32,53,53,35,42,34,39,35,37
