offset_x,offset_y,2005-10-06 00:00:00,2006-10-06 00:00:00,2007-10-02 00:00:00,2008-10-16 00:00:00,2009-10-09 00:00:00,2010-10-08 00:00:00,2011-10-13 00:00:00,2012-10-04 00:00:00,2013-10-08 00:00:00,2014-10-08 00:00:00,2015-10-01 00:00:00,2016-09-27 00:00:00,2017-09-27 00:00:00,2018-10-08 00:00:00,2019-10-03 00:00:00
0,0,56,51,55,54,51,52,50,56,53,56,55,58,61,62,65
0,3,62,53,39,56,54,54,51,53,53,58,57,58,57,58,64
0,6,54,50,65,52,49,58,48,53,51,53,58,56,58,58,65
0,9,55,54,52,62,52,56,52,56,53,58,60,60,62,60,64
0,12,58,51,55,58,52,58,58,62,58,62,55,64,60,69,72
0,15,67,63,52,62,60,67,56,69,65,75,70,77,78,78,85
0,18,61,62,62,65,58,67,63,66,66,74,65,68,74,73,79
0,21,64,55,53,64,53,62,60,66,62,67,64,69,67,66,73
0,24,68,66,64,70,64,68,68,68,70,75,64,78,81,82,94
0,27,71,68,65,66,62,72,65,73,71,75,72,76,73,71,80
0,30,90,72,64,75,69,77,73,83,78,88,77,94,90,98,118
3,0,64,59,61,57,56,58,57,57,57,57,63,62,58,60,65
3,3,47,43,60,49,38,45,45,43,45,48,52,44,47,47,53
3,6,58,62,54,65,58,63,61,61,58,64,62,66,67,69,70
3,9,53,44,55,49,42,49,45,46,48,53,47,54,56,55,57
3,12,49,52,67,55,47,52,53,56,52,58,53,59,61,64,67
3,15,54,50,50,54,47,55,52,54,50,57,52,62,59,65,67
3,18,60,55,49,62,56,62,62,62,63,68,64,72,73,71,77
3,21,49,52,64,52,48,47,45,50,46,50,51,58,56,53,58
3,24,57,55,59,57,56,60,60,58,60,65,61,70,63,65,70
3,27,63,60,50,63,59,65,64,67,66,76,68,78,73,74,87
3,30,85,82,81,82,75,83,85,86,88,95,88,94,100,103,119
6,0,55,52,51,53,49,53,47,53,49,51,51,52,53,61,60
6,3,62,58,55,54,50,56,55,52,50,53,56,61,63,63,65
6,6,58,55,52,58,54,56,56,58,55,55,49,60,58,58,63
6,9,69,52,57,56,54,54,57,56,55,56,57,59,57,58,61
6,12,50,62,64,61,55,54,63,60,57,59,54,66,64,66,69
6,15,50,47,50,48,45,47,49,52,49,51,50,53,53,53,55
6,18,52,44,53,47,44,46,46,45,45,51,53,57,53,51,54
6,21,64,56,57,59,56,59,56,62,52,57,53,66,65,63,64
6,24,56,56,52,58,53,51,56,64,59,66,57,73,64,66,71
6,27,49,45,46,49,48,50,48,51,49,53,61,60,53,53,56
6,30,70,63,78,61,65,67,61,76,62,68,66,73,62,66,75
9,0,66,58,59,58,51,58,54,56,55,63,57,62,61,61,62
9,3,51,48,45,50,48,49,50,46,49,48,41,57,56,54,56
9,6,50,52,56,58,52,50,52,52,45,58,42,53,52,54,51
9,9,66,52,61,54,50,55,54,51,49,51,45,53,54,56,54
9,12,50,53,48,62,57,61,63,67,60,66,58,64,66,68,69
9,15,60,52,60,60,56,66,63,66,56,65,58,59,60,66,69
9,18,53,65,56,65,57,61,61,62,59,64,54,68,66,66,66
9,21,50,56,50,52,48,53,53,58,53,60,55,60,56,62,60
9,24,53,47,50,53,44,49,47,48,48,53,45,52,54,53,56
9,27,49,46,54,45,44,40,45,41,47,47,49,50,48,50,53
9,30,62,60,64,63,54,61,57,54,54,63,52,65,64,66,70
12,0,52,49,51,51,45,47,57,44,46,56,50,60,55,52,55
12,3,45,40,54,54,46,45,46,54,45,49,46,57,52,56,55
