offset_x,offset_y,1969-09-08 00:00:00,1970-08-28 00:00:00,1971-10-04 00:00:00,1972-09-28 00:00:00,1973-10-01 00:00:00,1974-09-25 00:00:00,1975-10-18 00:00:00,1976-09-15 00:00:00,1977-09-13 00:00:00,1978-09-30 00:00:00,1979-09-30 00:00:00,1980-09-27 00:00:00,1981-10-03 00:00:00,1982-09-25 00:00:00,1983-09-18 00:00:00,1984-09-28 00:00:00,1985-10-25 00:00:00,1986-09-17 00:00:00,1987-10-04 00:00:00,1988-09-03 00:00:00,1989-09-16 00:00:00,1990-09-08 00:00:00,1991-09-28 00:00:00,1992-09-26 00:00:00,1993-09-06 00:00:00,1994-09-17 00:00:00,1995-09-23 00:00:00,1996-09-15 00:00:00,1997-09-20 00:00:00,1998-09-12 00:00:00,1999-09-08 00:00:00,2000-09-09 00:00:00,2001-09-09 00:00:00,2002-09-14 00:00:00,2003-09-13 00:00:00,2004-09-11 00:00:00,2005-09-11 00:00:00,2006-09-14 00:00:00,2007-09-24 00:00:00,2008-10-02 00:00:00,2009-09-28 00:00:00,2010-09-29 00:00:00,2011-10-12 00:00:00,2012-10-04 00:00:00,2013-10-10 00:00:00,2014-10-01 00:00:00,2015-10-12 00:00:00,2016-10-10 00:00:00,2017-10-01 00:00:00,2018-10-08 00:00:00,2019-10-18 00:00:00
1,0,50,53,53,49,50,59,52,44,46,46,46,46,55,54,57,52,55,53,49,55,54,60,50,60,55,58,58,51,58,60,50,52,52,55,55,56,56,56,70,70,68,70,64,65,71,67,78,128,117,130,112
3,0,52,59,61,59,60,50,51,51,62,58,60,60,61,58,62,55,65,59,58,55,53,58,53,57,57,58,58,47,53,60,43,49,52,53,55,55,60,57,69,69,69,64,67,62,64,73,71,130,69,125,129
5,0,55,61,62,60,62,56,58,59,63,63,66,65,66,70,71,64,67,66,65,58,58,60,53,60,61,59,61,50,52,58,52,52,54,55,54,52,61,57,70,66,65,71,71,68,66,77,82,138,107,132,139
7,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,55,63,54,65,60,56,65,52,55,59,50,53,52,53,53,54,63,61,74,73,70,71,72,66,70,82,86,132,118,141,164
9,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,56,63,55,60,62,60,68,51,55,58,54,51,56,56,56,50,65,63,79,81,79,80,74,76,74,96,110,140,130,157,180
11,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,60,60,70,64,74,63,71,74,54,61,65,55,63,61,63,62,53,65,67,61,83,82,81,62,82,82,104,127,153,132,167,198
13,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65,65,78,68,72,72,70,77,57,60,70,60,63,62,63,65,72,78,77,88,81,80,82,88,85,85,105,125,168,145,183,192
15,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66,64,74,68,73,71,68,74,59,64,70,57,64,65,65,65,70,84,72,98,89,89,85,92,84,84,101,120,145,123,170,192
17,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,64,78,70,75,70,70,77,64,70,75,67,68,69,70,75,73,85,76,94,87,82,88,87,87,87,99,110,153,133,185,201
19,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,71,65,70,66,66,68,67,77,66,65,72,66,64,71,72,72,74,87,85,97,86,84,86,92,84,84,95,105,146,126,153,197
