offset_x,offset_y,2000-09-22 00:00:00,2001-09-22 00:00:00,2002-09-03 00:00:00,2005-08-18 00:00:00,2006-08-21 00:00:00,2007-08-20 00:00:00,2008-08-22 00:00:00,2009-08-19 00:00:00,2010-08-19 00:00:00,2011-08-19 00:00:00,2012-08-17 00:00:00,2013-08-19 00:00:00,2014-08-19 00:00:00,2016-08-22 00:00:00,2017-08-16 00:00:00,2018-08-15 00:00:00,2019-08-22 00:00:00
0,0,80,56,61.3,50,59,58,54,50.5,59.5,65.5,66.5,72,68,55,75,65.5,57.5
0,10,60,55,44.3,51,58,62.5,45,45.5,47.5,53.5,47,55.5,50.5,50,57,54.5,50.5
0,20,65,65,39.5,56,96,-999,54,60.5,48.5,72,58.5,73,65,69,69.5,51.5,61.5
0,30,65,55,38,36,56,43.5,51.5,48.5,62.5,58,49.5,56,53,55,58.5,55.5,62
0,40,55,51,37.5,45,66,61.5,46.5,48.5,54.5,48.5,46,55.5,42,50,46,45,43.5
0,50,55,44,37,43,49,47.5,39.5,56.5,58.5,54.5,52,58,50.5,63,54.5,51.5,59
0,60,60,51,46.8,38,51,52.5,56,60,57,61,63.5,64.5,66,73,72,63,64
0,70,55,49,39.3,53,62,62.5,47.5,45.5,47.5,58,56.5,47.5,49,79,60,50,47.5
0,80,-999,22,34.8,50,72,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0,90,55,51,37.3,54,52,54,59,67,53,40.5,57,51,33.5,68,40.5,63.5,65
0,100,60,65,47,61,73,65,56.5,62,43,68.5,55,64.5,63.5,63,60,60,68.5
10,0,60,69,46.3,57,42,41,80.5,85,60,47,52,66,68,64,75.5,57,49
10,10,75,74,53.8,44,67,50.5,64.5,74.5,66.5,71,65,89.5,78.5,77,73.5,50.5,73.5
10,20,45,49,37.8,52,54,59.5,37,46.5,60.5,43.5,48,66,50,52,47.5,40.5,45
10,30,45,46,41.3,64,48,54,42.5,52,55.5,47.5,51.5,52,47,50,54.5,56,51
10,40,55,50,41,40,69,77.5,42.5,50.5,55,50,42,40,40.5,58,58,45,46
10,50,55,55,43.3,52,56,51.5,36,49,53,45.5,47,55,48.5,43,53.5,41.5,42.5
10,60,75,78,63.5,100,54,51.5,68,75,63.5,64.5,59.5,74.5,73.5,75,61,67.5,66.5
10,70,55,51,42,78,53,51.5,52.5,48.5,55.5,53,52.5,49.5,53,40,56,54,51
10,80,50,49,42.3,52,53,52,48.5,52,55,50.5,46.5,51,58.5,44,62.5,48,48.5
10,90,75,55,54,63,71,51,66,55,57,69,42.5,53.5,72,57,83.5,81.5,64.5
10,100,55,50,35.3,52,71,88.5,44,50,41.5,36.5,38,43.5,31,44,37,34.5,42.5
20,0,50,48,43.3,54,97,95.5,43,67.5,71,62,50,69.5,59,57,63,54.5,53.5
20,10,85,82,53.3,64,73,58.5,79.5,86.5,94,85,62.5,92.5,81,75,73.5,74,99
20,20,65,51,39,53,54,50,48,58,58.5,50.5,51.5,56.5,55,58,53.5,53,53
20,30,50,46,33.8,46,37,34.5,44.5,56,64,48,45.5,53,43,52,45,39,55
20,40,55,51,30.3,38,52,48,39,53,62,50,42,58.5,48,62,63.5,42,43
20,50,45,59,43,38,53,54.5,31.5,51.5,55,37,42.5,44.5,42.5,49,48.5,46.5,50
20,60,65,49,40,52,53,48,47,58,59,51.5,44.5,48.5,38,43,52.5,49,42
20,70,35,35,30,30,51,54,47,34,42.5,42.5,36,25.5,36.5,41,44,34.5,36.5
20,80,45,46,43.5,60,53,53,53,46,53,47.5,50,50.5,53.5,49,54.5,47,55.5
20,90,95,80,63.8,48,69,59.5,73.5,72.5,72.5,56.5,78.5,77,71.5,49,61.5,71.5,79
20,100,95,87,58.8,65,58,62,80.5,78.5,83.5,74,79,65,60,110,85.5,72.5,86
30,0,65,53,41,35,54,53,33.5,52.5,64.5,56,46,54.5,64,60,45,46,51
30,10,90,59,71.5,41,46,52.5,64.5,71.5,76.5,76,86,77,90.5,82,78,65.5,70.5
30,20,45,41,34.8,59,53,60.5,39.5,49,57,50,45.5,48.5,52,60,44,47,57
30,30,50,46,46.8,59,76,88,49.5,54.5,50,57,46.5,56,51,48,41.5,48,60.5
30,40,60,61,54.3,42,33,50.5,55,68.5,72,60,57.5,67,52.5,68,65.5,54,62.5
30,50,50,64,59.8,33,67,68,57.5,67,66.5,61,60.5,62.5,65.5,68,44.5,60,67.5
30,60,40,59,37.8,48,67,56.5,35.5,46,58.5,42,32.5,36,35,43,36.5,60,38
30,70,85,72,64.3,51,51,46,75.5,85.5,94.5,83.5,54,69,93.5,53,88.5,76.5,103.5
30,80,55,46,40.8,50,53,61,60,62,64.5,57,55,63.5,56.5,49,53,47,52
30,90,55,51,49.5,52,68,79,45.5,49.5,52.5,48,48.5,55.5,56.5,47,51,60.5,59.5
30,100,60,45,41.3,62,47,62.5,48,50.5,56,50.5,61.5,53.5,39.5,57,43.5,44.5,60
40,0,45,41,34.3,58,55,55,52.5,52,55,52.5,47.5,43.5,48.5,59,50.5,53.5,58.5
40,10,110,97,73.3,43,41,46.5,95.5,98,99,77.5,96,109.5,104,100,61,68,81
40,20,60,46,40.3,49,43,51.5,41,42,68,45.5,39,56.5,54.5,58,56,54.5,45
40,30,50,55,41.3,25,49,49.5,41,51,53,43.5,43.5,46,38.5,47,45,49.5,51
40,40,50,41,32.5,55,48,62.5,35,48,46.5,39.5,41.5,43.5,34,49,44.5,19.5,39
40,50,50,49,37.8,28,55,49.5,45.5,54.5,56,45,43.5,48,52.5,55,67.5,31,47.5
40,60,45,47,36.3,41,38,68.5,55.5,58,51,57.5,52,52,49.5,52,46,56,59
40,70,50,48,39.8,50,47,49.5,45,47.5,54,51,81,49,52,48,54.5,50,48.5
40,80,50,45,37,50,48,57.5,45.5,45.5,47,49.5,44,49,46.5,50,56,50,48
40,90,45,46,34.3,47,104,100,51.5,48,33,39.5,46,36,47.5,50,44.5,49,48.5
40,100,55,47,40.5,58,46,49,40,49.5,62.5,50,39.5,53.5,59.5,63,59.5,34.5,51.5
50,0,50,45,42,44,48,74,45.5,57,49,52,49.5,48,47.5,53,46,44,55
50,10,50,52,47.5,52,49,47.5,52.5,59,57.5,53,53,57.5,53.5,59,51,49,58
50,20,45,36,30.8,55,46,53,32.5,43,41,38.5,34,38.5,38,41,40,39,38.5
50,30,45,38,-999,38,51,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50,40,90,20,-999,32,44,50.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50,50,60,41,38.5,42,43,42,39,42,55,39.5,41.5,40,37,42,42.5,35.5,66.5
50,60,60,37,37.5,47,-999,44.5,39.5,45,43,44.5,41.5,35.5,36,51,49.5,52,41.5
50,70,45,46,34.5,58,30,-999,41.5,42,50.5,44.5,42.5,40,42,44,51,44,42
50,80,50,46,39.5,51,39,38.5,42,43,50,45.5,43.5,47.5,43,47,51.5,47.5,47.5
50,90,50,39,37.3,55,57,57.5,47.5,43.5,48,47,34,42,47,43,48.5,48,47
50,100,60,56,66.3,39,46,52,69.5,70,74,66.5,47.5,78,80,82,64,68,72.5
60,0,60,44,39.8,57,42,50.5,41,56,45.5,47,44,43.5,48.5,49,50,51,55
60,10,40,38,38.3,62,54,50,36.5,44,47,43.5,40,40,40,45,39,36.5,44
60,20,50,49,42.8,53,43,47.5,35.5,42.5,50,44.5,50.5,57,58,68,51,46,54
60,30,40,55,30.3,56,45,47,-999,-999,87,-999,-999,-999,-999,-999,-999,-999,-999
60,40,40,49,44.8,43,48,45,51,59.5,60,33.5,55,41.5,51.5,60,38,50,59.5
60,50,40,42,40.8,44,48,48,47,49.5,56,55,48.5,48.5,40,53,50.5,42,54
60,60,50,46,38.5,47,51,63.5,41,46.5,57,45,46.5,42,44,45,53,47,46
60,70,45,47,36.8,55,61,72,42,46,48,45,48,31.5,43.5,50,48.5,32.5,45.5
60,80,45,51,43.8,53,45,38.5,42.5,41.5,50,39,43,41.5,41,48,51.5,45.5,42.5
60,90,55,47,40,62,38,41,45.5,47.5,46,47,47,56,51,39,52.5,53,46.5
60,100,45,46,38.3,63,49,47,46,47,47,51.5,57,55.5,43,44,50.5,34.5,49.5
70,0,35,37,30.8,55,46,44.5,38,35,44,44.5,43,38.5,40.5,44,37.5,38.5,40.5
70,10,60,69,58.8,44,49,44,63,66.5,59.5,70,64,77,69.5,71,65.5,47,65.5
70,20,55,46,39,47,39,47,44.5,53.5,55,50.5,51,47.5,44,54,48.5,48,48
70,30,60,52,49.8,38,39,40,60,62,62.5,62,49.5,63.5,56,65,58.5,58,64.5
70,40,50,45,-999,45,53,64.5,31,45,46.5,34,57,68.5,28.5,56,53.5,49,54.5
70,50,50,41,31,44,51,40.5,36,44,55,44.5,46,50.5,38,52,46.5,41.5,50
70,60,55,59,42.3,43,37,56,65,71.5,67.5,58,48,42.5,50,52,51,51,43
70,70,40,40,27.5,73,55,57.5,43,37.5,51.5,37.5,38.5,31.5,38.5,50,59.5,35,38
70,80,55,46,35,40,49,54,47.5,63.5,44,44,43,43.5,40,66,47,40,49.5
70,90,55,39,35.8,60,76,63,47,47,43,42.5,40.5,46.5,46.5,50,47,49,44
70,100,45,42,32.8,48,41,43.5,46,44,54,55.5,46.5,44,49.5,51,50.5,43.5,48.5
80,0,50,44,42.5,59,72,65.5,40,48,49,49.5,45,49.5,44.5,53,43,42,52
80,10,-999,60,52.8,48,52,50,58,59,62.5,60,52,63,63,58,50,55,60.5
80,20,-999,45,40.3,58,63,56.5,38.5,47,49.5,47,40.5,45.5,45.5,47,42.5,43.5,53.5
80,30,-999,60,49.3,38,48,50.5,52.5,55,69.5,49.5,46.5,62,55.5,52,66.5,59,60.5
80,40,-999,52,56.5,43,51,53.5,49,60.5,58.5,61,54.5,59.5,51.5,66,53,70.5,75
80,50,-999,49,47,47,57,55.5,50.5,61,64.5,57,61,56.5,57,56,54.5,47,51.5
80,60,-999,52,43.8,50,57,60.5,52.5,55,53,61.5,56,45.5,59,61,55.5,58.5,55.5
