offset_x,offset_y,1999-10-03 00:00:00,2000-07-27 00:00:00,2001-10-07 00:00:00,2002-09-28 00:00:00,2008-08-29 00:00:00,2009-08-22 00:00:00,2010-08-23 00:00:00,2011-08-25 00:00:00,2012-08-23 00:00:00,2013-08-23 00:00:00,2014-08-26 00:00:00,2015-08-30 00:00:00,2016-08-26 00:00:00,2017-08-26 00:00:00,2018-08-27 00:00:00,2019-08-25 00:00:00
0,0,110,32.5,65,-999,72,52,60,66.5,60,56.5,55.5,-999,-999,-999,-999,-999
0,100,72.5,40.5,71,71.5,69,52.5,62,67.5,48.5,60.5,62.5,69.5,95,74,130,117
0,200,66.25,33.5,65,60.5,77.5,55.5,63.5,68.5,54,50,57.5,69,80,66.5,73.25,112.5
0,300,66.25,30,-888,57,87,69.5,67,82.5,63,67,62.5,72,59,108,83.5,77.5
0,400,91.25,29.5,82,56.75,54.5,46.5,46.5,48,42.5,50.5,47.5,-999,-999,-999,-999,-999
0,500,72.5,49,67,-999,48,51.5,54.5,52.5,45.5,43.5,52.5,-999,-999,-999,-999,-999
0,600,-999,-999,68,-999,95,92,85,73,103.5,45.5,108.5,-999,-999,-999,-999,-999
0,700,66.25,31,63,54.25,69,71,85,75,76.5,77,76,122.5,67.5,68.5,-999,-999
0,800,110,59.5,64,-999,71,45.5,64.5,63,56.5,56.5,49,-999,-999,-999,-999,-999
0,900,102.5,52.5,-999,-999,61.5,50,54,57.5,44,48.5,45.5,-999,-999,-999,-999,-999
0,1000,70,35,-999,50.25,54.5,53,52.5,58,44,47.5,50.5,52,75.5,51,63.25,90
100,0,83.75,40.5,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
100,100,57.5,32,64,52.5,-999,-999,-999,-999,-999,-999,-999,66,74,68,71,91.5
100,200,60,28,62,53.5,-999,-999,-999,-999,-999,-999,-999,63.5,71.5,54,62.75,81.5
100,300,93.75,28,55,48.5,100,49.5,91,-999,92.5,87.5,80,115,52,60.5,56.25,63
100,400,85,36.75,58,68.5,70,91.5,54.5,78,44,47.5,50.5,70.5,81,60,70.5,106.5
100,500,107.5,28.5,109,56.5,100,52.5,57,53.5,53.5,81.5,69,118.5,86,56,71,66
100,600,-999,36,66,42.5,50.5,44.5,55,56.5,58,41.5,50.5,-999,-999,-999,-999,-999
100,700,-999,26,78,-999,53.5,50.5,55.5,50.5,47,49,54,-999,-999,-999,-999,-999
100,800,108.75,35.75,-888,58.25,54.5,55,47.5,54.5,51,52.5,50.5,106,105,60,82.5,-999
100,900,110,44.5,60,59.75,87.5,86.5,88,97.5,56,60,78.5,-999,-999,-999,-999,-999
100,1000,65,27.5,78,53,63,62,58.5,60,50.5,54,46,58.5,76.5,59,67.75,76
200,0,57.5,36.5,61,56.25,-999,-999,69,-999,-999,-999,-999,103.5,127,104,115.5,83.5
200,100,110,36.5,65,49.5,-999,-999,104.5,-999,59,51,47,-999,123.5,-999,123.5,126
200,200,71.25,32.25,78,53.75,100,100,81.5,-999,77,80.5,80.5,83,84,74.5,79.25,100
200,300,103.75,31,68,-999,70.5,79,-999,130,95,80,82,-999,-999,-999,-999,-999
200,400,65,30.5,72,54.25,100,100,-999,-999,-999,100.5,-999,64.5,80,53.5,66.75,88.5
200,500,82.5,29.75,66,65.25,61.5,52,49.5,65.5,54,-999,58,114,98,92.5,95.25,111.5
200,600,-999,26,61,-999,64,64,55.5,54,47,55,50,-999,-999,-999,-999,-999
200,700,-999,30,-888,-999,67.5,62,62,60,59.5,55,56.5,-999,-999,-999,-999,-999
200,800,81.25,37.25,69,71,70.5,51,54,68,47,54,47.5,78.5,77.5,66,71.75,78.5
200,900,43.75,26,69,42,61,58,55.5,55,54,49,58.5,-999,-999,-999,-999,-999
200,1000,61.25,30,71,58.5,58,58.5,56,56.5,50.5,44.5,49.5,50.5,82,49,65.5,71.5
300,0,66.25,30,60,55.25,-999,-999,61,-999,50,60.5,59.5,63,58,55,56.5,72
300,100,87.5,28.75,64,52.5,-999,-999,68,103.5,-999,-999,-999,-999,115,112,113.5,124
300,200,110,34.75,51,57.75,82.5,110,-999,104,-999,-999,-999,85.5,77.5,118,97.75,82
300,300,106.25,37.25,62,95,90,51,-999,94.5,97,60.5,103.5,-999,-999,-999,-999,-999
300,400,55,28.25,64,46.5,65,74,66,61.5,43,44.5,58.5,52.5,71,50.5,60.75,90.5
300,500,73.75,31.25,62,67,79,66,73,76.5,52,65,69,76.5,99.5,59,79.25,130
300,600,110,27,64,45,87.5,62.5,82,79,52,50.5,70.5,-999,-999,-999,-999,-999
300,700,110,28.75,110,60.75,86,81.5,62.5,66.5,59.5,58,59,50,70.5,87,-999,-999
300,800,108.75,28,-999,43.25,92,58.5,83,88.5,53.5,62,61.5,64.5,62.5,66.5,64.5,75.5
300,900,83.75,27.75,66,57.75,75.5,58.5,60,77,54.5,58,71.5,115,61,49.5,55.25,112.5
300,1000,71.25,35,82,51.5,83.5,51.5,58.5,72.5,49,50,57.5,58.5,86.5,58.5,72.5,89.5
400,0,52.5,31,62,51.25,-999,-999,-999,-999,-999,-999,-999,54.5,55,62.5,58.75,66
400,100,48.75,28.5,49,46,-999,-999,-999,-999,-999,-999,-999,75,76,72,74,84
400,200,60,34.25,115,51,-999,-999,-999,-999,-999,-999,-999,-999,70,70,70,77
400,300,65,32.5,82,53.75,-999,-999,-999,-999,-999,-999,-999,64.5,69.5,67.5,68.5,73
400,400,66.25,32,68,51.25,100,-999,-999,-999,-999,-999,-999,64.5,83.5,49,66.25,112
400,500,53.75,33.25,98,59.5,-999,-999,58,-999,-999,-999,-999,70,67.5,54.5,61,89
400,600,97.5,47.5,71,39.75,67,51.5,66.5,49.5,62,57,54.5,-999,-999,-999,-999,-999
400,700,60,28.75,48,48.25,91.5,87.5,68,62,67,84.5,65,54.5,61,52.5,56.75,90
400,800,110,27,78,37.75,96.5,79.5,84.5,79,57,61.5,57.5,-999,-999,-999,-999,-999
400,900,55,28.5,98,49.75,83.5,94.5,58.5,79.5,85.5,66.5,77,53,58.5,55.5,57,77.5
400,1000,46.25,32.25,79,42.75,75.5,50.5,56,61.5,68.5,58.5,53.5,49,54.5,52,53.25,61.5
500,0,61.25,37.25,91,53.5,-999,-999,-999,-999,-999,-999,-999,64.5,60,71.5,65.75,85
500,100,110,32.75,64,40.25,51,76,64,78.5,50,45.5,45.5,-999,-999,-999,-999,-999
500,200,65,32,42,47.75,83,104.5,112.5,102,60,65.5,110.5,60,67.5,73,70.25,96
500,300,62.5,30.25,-888,52.5,86,80.5,67,101.5,56,64,53.5,53.5,71.5,60,65.75,75.5
500,400,110,45.25,57,57.5,81.5,61.5,60.5,67.5,50.5,59,63,103.5,127.5,57.5,130,130
500,500,85,46.5,69,36,85.5,69.5,64,58.5,71.5,59,56,65.5,95,47,71,87.5
500,600,91.25,43.75,76,-999,40,45,47.5,48.5,40,46.5,49.5,-999,-999,-999,-999,-999
500,700,75,31,76,62.75,55.5,66,58,67.5,58,52.5,51.5,73,80,71,75.5,89.5
500,800,58.75,37.75,91,53,51,47.5,53,55.5,42.5,48.5,50.5,60,64.5,60,62.25,79.5
500,900,97.5,37,74,-999,49.5,45.5,47,51.5,48,46.5,51,67,62,68,65,88
500,1000,51.25,30.5,-999,42,76.5,64.5,58,73.5,53,67.5,75.5,51.5,63,42,52.5,72.5
600,0,53.75,39.5,74,59.5,80,65.5,63.5,66,77,48,58.5,66,66.5,75,70.75,64
600,100,46.25,32.25,80,42.25,73,75.5,76,58.5,60.5,67.5,59,46,61,64.5,62.75,87
600,200,82.5,34,75,48.25,68.5,60,72.5,69.5,32,54,63,76.5,93.5,90.5,92,113.5
600,300,52.5,28.5,83,49.25,62.5,59,54,58,42.5,49.5,55.5,49.5,63.5,66.5,65,71.5
600,400,63.75,31.75,64,61.75,72,53.5,55,80,49,43,62,57,71,59.5,65.25,90.5
600,500,51.25,34.25,-999,44.75,100,55.5,106,126.5,127,52.5,56,54,52,49,50.5,75
600,600,88.75,34.25,54,66.75,68,55,53,76,48,52,54,67.5,70,49.5,59.75,116
600,700,75,32.25,-888,49.5,100,100,109,117.5,90.5,60.5,65.5,96.5,59.5,48.5,54,59.5
600,800,55,33.5,-999,49.5,100,55.5,52,106,53.5,54.5,54,55,64,51.5,57.75,74.5
600,900,56.25,35.5,89,44,36.5,57,52,45.5,33.5,52,54.5,50,63,41,52,71.5
600,1000,85,31.75,-999,56.5,63,55,61.5,59.5,52,50.5,56,65,94.5,91.5,93,107.5
700,0,110,38.25,71,40.25,81.5,52.5,66,79,81,57.5,70,-999,-999,-999,-999,-999
700,100,51.25,30.5,66,45.5,66.5,45.5,51,63,46.5,35,49,59.5,81.5,67,74.25,61
700,200,81.25,36.5,55,56.75,-999,-999,-999,-999,-999,-999,-999,52.5,89.5,89,89.25,109.5
700,300,60,37,70,53.5,112.5,-999,96.5,115,80.5,77.5,-999,52.5,60.5,71.5,66,78
700,400,110,35.75,63,62.5,62.5,57.5,57,70.5,52.5,46.5,60.5,85.5,110.5,58,84.25,127
700,500,72.5,32,63,52.25,68,57,56,53,47,47.5,44.5,67.5,50,57.5,53.75,74.5
700,600,95,36.25,16,59.75,59,63,63.5,54,44.5,45.5,49,73,86,85.5,85.75,80
700,700,71.25,33.75,59,60,65,54,69,59,44,47,58,64,74.5,47.5,61,69
700,800,48.75,31,81,44.5,47.5,51,55,46,42.5,45.5,50,56,61.5,63,62.25,77
700,900,51.25,30.75,-999,45.5,61,48,56,79,42.5,38,46,48.5,66,46.5,56.25,69.5
700,1000,96.25,35.5,74,68.75,83,73,64.5,64.5,48.5,40.5,53,71,89,65,77,116
800,0,55.5,33.25,57,51.25,85,75.5,77,89.5,56,69,67,77,65.5,71.5,68.5,80.5
