offset_x,offset_y,1995-07-06 00:00:00,1995-07-24 00:00:00,1995-08-20 00:00:00,1996-06-14 00:00:00,1996-07-03 00:00:00,1996-07-30 00:00:00,1996-08-20 00:00:00,1997-06-11 00:00:00,1997-07-17 00:00:00,1997-08-09 00:00:00,1998-08-13 00:00:00,1999-08-10 00:00:00,2000-08-08 00:00:00,2001-06-19 00:00:00,2001-07-25 00:00:00,2001-08-16 00:00:00,2002-08-20 00:00:00,2003-08-19 00:00:00,2004-08-17 00:00:00,2005-08-14 00:00:00,2006-06-17 00:00:00,2006-07-20 00:00:00,2006-08-13 00:00:00,2007-08-10 00:00:00,2008-08-15 00:00:00,2009-08-13 00:00:00,2010-08-15 00:00:00,2011-08-16 00:00:00,2012-08-15 00:00:00,2013-08-14 00:00:00,2014-08-15 00:00:00,2015-08-18 00:00:00,2016-07-12 00:00:00,2016-07-30 00:00:00,2016-08-17 00:00:00,2017-08-18 00:00:00,2018-08-14 00:00:00,2019-08-15 00:00:00
5939524044,76126002770,28,29,38,9,18,41,47,10,33,61,60,56,40,7,42,46,28,37,41,45,-999,28,47,67,59,63,77,49,47,-999,51,68,43,57,41,-999,64,63
5939579108,76125935710,22,62,43,16,22,48,53,8,51,56,39,50,42,14,39,40,30,39,44,27,-999,23,43,43,84,64,64,46,45,-999,55,61,33,58,36,-999,47,39
5939593892,76125476440,21,65,44,10,28,34,34,8,32,57,38,41,44,8,50,41,26,34,40,33,21,20,50,35,86,48,60,50,55,48,43,62,34,46,57,52,48,53
5939605593,76125913230,32,32,46,19,18,29,44,10,37,55,45,47,33,4,28,33,21,60,38,30,-999,19,28,44,63,47,61,35,44,-999,41,43,33,39,42,46,45,54
5939633130,76125483530,16,35,48,18,24,61,45,9,52,49,52,69,31,10,34,64,45,45,37,48,-999,36,36,36,49,48,76,46,77,57,48,50,31,45,52,53,42,52
5939646530,76125886890,14,48,47,10,19,43,48,10,36,48,51,41,31,8,26,34,18,33,34,30,-999,14,28,27,49,55,49,46,42,48,42,41,29,39,40,62,43,48
5939683665,76125494400,17,44,42,14,20,36,48,13,38,59,43,47,37,2,48,32,22,32,35,41,-999,29,45,60,56,58,60,38,52,59,52,56,40,54,43,58,50,57
5939687158,76125846040,23,42,38,10,14,24,33,17,30,40,49,39,24,6,24,30,21,57,30,51,-999,21,22,27,64,34,65,32,32,63,39,50,36,50,40,43,40,43
5939709418,76125827890,24,30,42,8,19,37,49,9,39,48,41,46,38,7,33,40,25,44,43,35,-999,21,36,41,62,31,45,28,42,57,36,40,38,49,43,42,42,38
5939736631,76125494150,21,76,38,10,26,35,30,15,42,46,40,50,28,1,27,35,38,33,28,38,-999,35,40,37,55,48,55,47,58,-999,-999,42,23,40,42,39,47,46
5939754990,76125797240,31,45,40,9,21,31,40,10,38,44,43,46,35,5,35,38,30,43,46,40,-999,24,40,41,79,47,57,36,54,60,37,55,57,58,58,32,43,45
5939792661,76125769660,42,60,48,10,19,47,64,7,36,63,68,66,50,1,40,55,35,44,57,47,-999,13,42,55,62,49,73,-999,75,-999,72,66,32,70,50,43,74,67
5939797996,76125497570,12,33,33,12,23,54,45,9,33,47,54,67,34,2,34,57,55,46,48,35,-999,25,37,50,59,42,60,53,75,48,44,48,28,41,46,50,60,45
5939829485,76125721930,20,52,55,8,28,41,49,9,48,34,46,54,39,8,45,52,41,58,61,48,-999,35,48,56,54,61,67,55,63,-999,73,66,48,55,52,58,34,55
5939844083,76125495940,26,46,44,7,18,38,40,10,38,36,51,52,31,2,31,38,34,43,34,40,-999,20,27,46,60,43,46,50,66,47,40,46,36,45,44,53,35,49
5939858384,76125690660,17,40,41,15,14,30,38,17,36,38,50,51,22,3,30,35,33,49,47,45,-999,21,32,37,46,33,55,41,48,52,53,59,26,47,44,67,49,42
5939883524,76125498540,15,38,54,10,23,37,29,12,30,48,37,43,43,15,38,34,35,38,40,31,-999,16,36,42,47,42,45,52,57,53,43,53,37,44,42,52,51,46
5939888809,76125498740,22,31,40,13,33,37,40,10,38,53,45,47,40,6,47,42,35,47,40,38,-999,30,26,40,44,36,49,42,54,47,40,-999,31,42,43,51,40,51
5939897578,76125655270,23,28,45,12,30,34,40,12,39,53,46,51,34,4,35,48,31,31,49,40,-999,30,39,42,49,42,66,57,59,58,47,55,44,47,41,68,44,56
5939941808,76125616710,21,30,39,11,19,27,30,11,38,45,48,31,30,3,28,47,27,29,47,34,-999,16,-999,32,44,31,53,36,50,49,46,-999,34,45,45,51,-999,42
5939949072,76125498760,24,35,45,9,19,32,41,10,49,43,60,40,37,6,39,37,31,26,40,38,-999,18,39,41,50,51,56,42,52,-999,47,65,32,47,-999,48,60,66
5939970631,76125586560,20,36,29,21,16,24,29,16,30,30,52,38,29,4,26,31,23,28,35,40,-999,21,27,32,50,33,43,43,40,46,39,52,38,44,49,54,60,53
5939995033,76125500480,25,35,41,16,19,38,52,13,42,46,45,46,46,5,40,36,19,39,45,43,-999,25,35,36,49,52,61,51,52,64,48,60,41,55,62,52,40,64
5940010641,76125551300,23,40,36,16,21,44,47,11,39,44,36,50,45,5,29,43,36,43,44,37,-999,18,35,44,44,56,55,50,57,59,45,60,45,52,58,46,50,65
5940022319,76125848530,16,34,35,15,20,25,43,10,43,43,40,41,30,1,23,40,26,46,38,24,-999,26,34,53,54,42,54,43,49,-999,42,56,40,56,65,60,52,60
5940025354,76125799540,20,31,50,13,28,43,48,14,45,30,50,36,21,3,21,42,19,40,31,25,-999,18,30,41,54,41,47,34,57,43,44,51,33,39,33,41,55,34
5940025915,76125600980,24,31,47,13,16,46,41,10,25,46,37,52,41,3,39,48,26,43,46,41,-999,27,37,31,54,33,47,45,64,48,42,48,30,45,43,53,54,51
5940026209,76125744940,16,40,30,13,21,55,33,9,33,45,41,50,34,1,28,40,30,29,38,30,-999,16,34,30,61,55,38,53,46,-999,37,48,40,40,43,42,43,55
5940028883,76125890120,19,30,46,18,28,36,40,10,33,55,63,31,38,8,40,42,29,30,41,35,-999,28,36,38,54,49,54,53,41,57,51,53,45,58,-999,61,45,57
5940028960,76125638980,15,45,45,9,19,27,45,8,40,38,32,50,35,5,35,60,30,39,40,34,-999,20,42,33,50,36,50,53,54,46,48,46,43,54,51,49,45,50
5940029245,76125695950,18,48,42,10,19,50,44,7,37,48,36,38,30,4,23,44,25,26,45,36,-999,23,44,36,47,43,45,42,50,52,44,54,42,51,52,58,45,52
