offset_x,offset_y,1995-07-12 00:00:00,1995-07-28 00:00:00,1995-08-24 00:00:00,1996-06-21 00:00:00,1996-07-26 00:00:00,1996-08-05 00:00:00,1996-08-23 00:00:00,1997-07-10 00:00:00,1997-07-31 00:00:00,1997-08-15 00:00:00,1998-08-18 00:00:00,1999-08-12 00:00:00,2000-08-10 00:00:00,2001-06-23 00:00:00,2001-07-16 00:00:00,2001-08-13 00:00:00,2002-08-25 00:00:00,2003-08-23 00:00:00,2004-08-20 00:00:00,2005-08-17 00:00:00,2006-07-28 00:00:00,2006-08-19 00:00:00,2007-08-14 00:00:00,2008-08-09 00:00:00,2009-08-16 00:00:00,2010-08-10 00:00:00,2011-08-13 00:00:00,2012-08-14 00:00:00,2013-08-09 00:00:00,2014-08-10 00:00:00,2014-08-12 00:00:00,2016-07-06 00:00:00,2016-07-24 00:00:00,2016-08-12 00:00:00,2017-08-11 00:00:00,2018-08-07 00:00:00,2019-08-08 00:00:00
5711807975,77984269030,39,45,51,22,46,55,57,33,43,54,59,50,46,14,24,45,45,35,40,46,30,54,45,48,43,47,35,58,40,54,54,41,58,63,54,51,64
5711853394,77984273800,34,49,50,23,45,49,58,34,43,53,58,56,55,23,40,52,52,50,53,47,33,56,51,53,52,48,56,53,68,29,57,39,49,56,52,48,60
5711902431,77984259710,45,40,45,26,43,47,45,23,37,51,52,52,49,14,38,45,43,50,55,45,51,55,41,42,42,43,41,30,52,46,51,20,25,43,47,31,43
5711942446,77984245330,34,41,45,25,43,45,50,33,41,43,51,49,47,20,31,45,44,44,50,47,41,50,45,48,50,44,44,51,52,34,51,30,44,44,47,44,51
5711989485,77984234540,35,35,39,25,39,40,41,26,34,47,41,39,37,12,23,37,36,36,41,37,44,36,34,38,35,35,38,42,46,30,41,29,37,40,35,35,41
5712028638,77983872020,33,43,47,19,42,50,50,35,33,49,38,44,41,9,26,39,46,43,48,42,40,47,48,41,35,40,44,43,38,43,45,27,42,48,50,38,49
5712039278,77984232720,26,38,40,28,38,40,43,23,33,41,33,37,34,11,17,34,45,35,47,33,38,41,30,36,29,34,32,37,63,34,31,29,25,29,37,31,57
5712075503,77983891250,36,37,40,32,37,45,40,17,39,48,47,37,37,7,18,32,30,51,55,36,40,37,35,33,36,32,50,37,58,35,35,20,36,39,38,35,-999
5712097338,77984218910,27,35,39,28,35,37,40,23,32,38,38,35,32,13,25,34,34,35,42,34,27,38,31,36,39,32,39,38,65,30,35,25,35,37,37,32,41
5712116919,77983917140,31,30,40,30,37,40,41,25,30,39,44,40,37,10,18,31,29,50,57,32,48,36,27,31,28,35,50,35,60,35,36,22,39,45,41,38,47
5712135697,77984221220,28,34,39,28,35,34,39,21,33,40,36,38,36,11,28,32,34,34,44,34,31,38,28,34,32,32,37,38,48,34,41,22,35,39,34,33,40
5712164621,77984212120,26,32,38,28,34,36,48,20,29,37,34,41,38,10,26,36,31,37,40,37,34,41,33,35,36,42,38,38,47,29,41,30,35,41,40,36,42
5712180688,77983938100,31,33,49,28,41,44,50,23,33,42,52,43,41,10,26,37,33,31,40,34,47,39,31,37,28,29,33,38,52,33,32,18,35,41,42,38,42
5712213592,77984200170,24,30,33,28,30,33,35,17,26,33,39,33,32,8,26,29,30,30,34,30,34,35,28,31,29,29,32,35,42,28,33,21,30,33,36,29,41
5712219390,77983964930,39,28,52,30,54,46,53,33,38,58,52,59,48,13,38,48,28,44,51,49,37,53,46,50,35,48,46,50,51,42,45,24,34,49,44,43,45
5712249962,77984484790,30,37,40,26,37,-999,43,19,-999,-999,48,31,30,10,17,25,35,32,42,33,-999,32,35,31,-999,29,31,46,51,31,30,19,29,32,34,34,-999
5712260806,77983990820,37,27,50,30,40,51,57,28,36,54,71,43,54,7,29,40,38,38,44,43,43,62,38,46,45,35,37,51,43,44,39,30,60,44,53,44,50
5712279412,77984446610,20,30,35,28,29,39,34,18,37,43,47,31,28,6,12,30,25,29,32,28,28,28,26,28,26,25,32,51,55,30,29,17,28,33,37,30,36
5712284839,77984186770,21,31,34,28,30,34,38,17,30,34,40,35,36,11,24,29,31,30,37,28,25,34,27,30,29,28,29,31,38,25,32,17,31,34,33,26,41
5712305107,77984407290,24,33,38,30,38,34,45,18,28,34,49,35,34,8,13,33,40,33,40,30,27,38,28,32,22,30,37,45,49,31,32,22,35,49,38,33,31
5712306396,77984014500,32,38,40,30,37,38,40,22,44,57,42,36,32,10,24,31,44,30,41,32,35,37,22,24,40,31,33,33,41,34,35,34,33,38,39,39,54
5712325573,77984366580,20,28,34,30,35,41,39,15,29,44,39,30,32,7,17,28,49,30,33,25,28,34,25,29,30,28,32,36,44,26,31,18,29,38,37,27,29
5712336598,77984158260,21,32,39,29,35,38,39,19,31,41,39,36,34,6,19,30,34,35,41,30,27,40,28,33,27,32,32,35,38,25,37,22,35,38,44,28,41
5712346644,77984040350,26,34,38,32,35,36,41,19,41,40,37,35,32,7,14,29,31,29,38,27,30,33,25,29,24,25,31,33,35,25,29,19,29,31,33,28,44
5712351888,77984320540,24,27,33,29,24,35,31,19,24,35,39,29,34,13,16,34,45,37,32,27,26,36,24,35,24,27,22,37,41,22,36,15,35,33,36,31,35
