offset_x,offset_y,1995-07-18 00:00:00,1995-08-04 00:00:00,1995-08-30 00:00:00,1996-06-27 00:00:00,1996-07-23 00:00:00,1996-08-20 00:00:00,1997-06-17 00:00:00,1997-07-26 00:00:00,1997-08-20 00:00:00,1998-08-23 00:00:00,1999-08-18 00:00:00,2000-08-15 00:00:00,2001-07-14 00:00:00,2001-08-21 00:00:00,2002-08-30 00:00:00,2003-08-15 00:00:00,2004-08-24 00:00:00,2005-08-22 00:00:00,2006-08-25 00:00:00,2007-08-18 00:00:00,2008-08-01 00:00:00,2009-08-18 00:00:00,2010-08-17 00:00:00,2011-08-18 00:00:00,2012-08-16 00:00:00,2013-08-17 00:00:00,2014-08-21 00:00:00,2015-08-25 00:00:00,2016-08-18 00:00:00,2017-08-21 00:00:00,2018-08-22 00:00:00,2019-08-23 00:00:00
0,0,24,25.5,29,13,26.5,24.5,7,36,29,32.5,31.5,28,13,23.5,25.5,24.5,35,31,28,29,32.5,36,31.5,35,32.5,33.5,33.5,34.5,36,33,33,36.363636363636
0,100,25,29,27.5,10,26,28,5.5,25,30,32,28,25,9.5,18.5,20.5,16.5,44,26,30.5,30,30,35,32.5,29.5,33.5,45,39.5,37.5,43.5,41.5,38,44.909090909091
0,200,27,27,31,11,30.5,38,5,28,30,34.5,40.5,34,18.5,30.5,25,23.5,45,30,45,34,42,37.5,49,39,44.5,54.5,46,49.5,48.5,47,40.5,51.715909090909
0,300,25,24,23.5,12,24,28.5,8,28,31,28.5,27,30.5,10,22,22,22.5,36,26.5,25,26.5,30,32,26.5,30.5,28.5,33,33,34,37.5,39,28,33.284090909091
0,400,28.5,33.5,41.5,11,31.5,43,4,45,43,43,45.5,37.5,14,36.5,33,35.5,69.5,46,51,42,51,54,47.5,48,45,64,60.5,59.5,78.5,80.5,65,61.295454545455
0,500,22.5,23,29.5,14,27,30,6.5,29,28,43,34.5,28.5,13,30.5,22.5,32,69,33.5,37.5,29,31,38,34,32,28.5,31.5,29.5,33.5,43.5,43.5,55,60.920454545454
0,600,18,33.5,36.5,15,30.5,38.5,5.5,28,40,41,42.5,31.5,15,34.5,38,29,41.5,39,43,41.5,45.5,41.5,41.5,41.5,52,50.5,41,42.5,188,39.5,35,49.329545454546
0,700,36.5,42,43,27,42,44,8,38,43.5,43.5,46.5,48,23.5,38,37.5,33.5,56.5,44.5,43.5,43.5,46,49,49,46,47.5,55.5,53.5,61,42.5,43.5,42.5,50.284090909091
0,800,26.5,32.5,33,14,30,31,5,28,29,43.5,35.5,31,14.5,30,31.5,34.5,42,33,40,38.5,37.5,42,39.5,41,40.5,39,36.5,41,39,-999,-999,-999
0,900,26,26.5,31,12,30.5,30,8,28,29,35.5,35,27,6.5,25,28.5,23.5,39.5,32,33.5,32,37.5,40.5,38,35,39,36.5,35,39.5,48.5,42.5,32.5,43.022727272727
