offset_x,offset_y,1999-10-06 00:00:00,2000-07-25 00:00:00,2001-10-11 00:00:00,2002-10-13 00:00:00,2008-08-28 00:00:00,2009-08-23 00:00:00,2010-08-22 00:00:00,2011-08-27 00:00:00,2012-08-25 00:00:00,2013-08-24 00:00:00,2014-08-27 00:00:00,2015-08-29 00:00:00,2016-08-25 00:00:00,2017-08-25 00:00:00,2018-08-25 00:00:00,2019-08-26 00:00:00
0,0,66.25,31,58,45.5,53.5,88,76.5,71,78,42,-999,83,46,76,42.5,72
0,100,86.75,41,66,70.5,84.5,77,74.5,85,71,76,90.5,74.5,59,78.5,80,78
0,200,63.75,33.5,51,46.5,62,58,75.5,69,58,47.5,64,-999,-999,-999,-999,-999
0,300,41.25,25.75,38,31,62.5,74,65.5,56.5,64,-999,73,52,53,60.5,70.5,81.5
0,400,88.75,33.75,95,66,46.5,64,59,70,46.5,-999,47,115.5,-999,-999,-999,-999
0,500,97.5,43.25,78,121,47.5,52,58.5,59.5,62.5,72.5,54,67.5,83,101.5,82,115
0,600,80,37.75,66,61.5,56,58.5,58,64.5,58,70.5,55.5,70,63,72.5,72,75.5
0,700,67.5,40.25,52,53.5,59.5,61.5,60,-999,58.5,51.5,53,55,48,66.5,59.5,91
0,800,81.25,37,104,67.5,37.5,47.5,55,-999,-999,-999,52,-999,46,95,47,115
0,900,72.5,48,65,74.5,47,54,-999,-999,49,87.5,-999,-999,59,97,32,95
0,1000,76.25,41,65,94,42.5,51.5,-999,-999,-999,-999,-999,101,-999,-999,-999,-999
100,0,86.25,53,48,59,85,70,37.5,60.5,68,63.5,45,95.5,53,80,47,75
100,100,62.5,31.75,53,65,63,32.5,40,50,43,51,55.5,69.5,73,66.5,38.5,71
100,200,58.75,29,48,47,49.5,75,77,66,46,54.5,46,59.5,59,60.5,61,74
100,300,65,26.75,51,50,89,54.5,58.5,80.5,-999,-999,79.5,56.5,46,53,52,61
100,400,41.25,31,43,38.5,42,52,60,83,51,-999,52,-999,50,25,68.5,118
100,500,87.5,40.5,115,91.5,52,68.5,66,62.5,56,90.5,54,-999,-999,-999,-999,-999
100,600,75,43.75,81,71.5,50.5,56,53,67.5,51,71,70,70,-999,-999,-999,52
100,700,98.75,38.75,79,81.5,58.5,50,69.5,60,59,86.5,55,72,80,111.5,37,80.5
100,800,72.5,30,56,59,68.5,53,66.5,52.5,55,65,50.5,52.5,64,68,60.5,57
100,900,51.25,27,37,33.5,52,51.5,-999,-999,49.5,49,-999,47,56,54,52,66
100,1000,77.5,40,74,81,59.5,49,-999,54.5,43,88.5,53,-999,90,102.5,37,78
200,0,67.5,51.3,66,69.5,68,-999,-999,-999,82,31,-999,72.5,67,60,67.5,68
200,100,57.5,30.25,51,48,57,62.5,76,79.5,45,52.5,60.5,52,68,58.5,68.5,73.5
200,200,-999,26.75,52,46.5,-999,77,-999,-999,-999,58,-999,52,74,49.5,60.5,63.5
200,300,-999,28.5,55,56.5,79,55,59.5,72.5,44,53,-999,50,50,50.5,59.5,82
200,400,-999,30,49,51.5,89,63,68.5,89.5,90.5,54.5,68,-999,68,57.5,56.5,69.5
200,500,-999,39.75,79,69.5,70,55,73.5,73.5,73.5,53.5,61.5,-999,-999,-999,-999,-999
200,600,-999,53.75,59,87,70,53.5,66.5,69,71,-999,62,-999,-999,-999,-999,-999
200,700,-999,47.75,45,47,54.5,63.5,64,75.5,54,-999,43.5,-999,-999,-999,-999,-999
200,800,-999,37.5,74,55,59.5,65,52.5,68,52.5,-999,62.5,-999,-999,-999,-999,-999
200,900,51.25,25.75,45,38.5,53.5,53,-999,54.5,53,75,50.5,52.5,-999,-999,-999,-999
200,1000,66.25,29.5,67,64,44.5,46,57.5,59.5,50,63.5,45.5,53,78,69,67,47.5
300,0,58.75,35,46,43.5,53.5,48,67,60.5,45.5,54.5,50.5,54,49,54.5,62.5,73
300,100,56.25,23,50,48.5,100,85,61,82.5,76,77,81,54.5,56,54.5,58.5,59
300,200,-999,31.75,57,52,40,55,84,47,48.5,53,-999,51,52,52,55,67
300,300,-999,32,58,48.5,52,54.5,-999,55.5,49,57.5,49.5,46.5,49,65,63.5,65.5
300,400,-999,29,47,44.5,49,-999,52,62.5,-999,52,-999,49.5,41,54,64,78.5
300,500,-999,35.25,78,60,62,60,60.5,69,57,-999,61,-999,-999,-999,-999,-999
300,600,-999,46.75,57,65.5,73.5,53.5,62,71,46,-999,53.5,66.5,50,-999,-999,77.5
300,700,-999,36,46,46.5,63,57,62.5,64.5,60.5,55.5,55,58,58,74.5,-999,69
300,800,-999,34.25,54,60,54.5,64,59,57.5,52,53.5,53.5,-999,65,83,67,62.5
300,900,70,32.75,49,43.5,63,47.5,53.5,54,46.5,77,48.5,70,101,44.5,66.5,88.5
300,1000,68.75,34.5,75,66.5,63.5,42.5,56,51,43,61,40,68.5,73,74.5,71,65.5
400,0,60,25,55,43.5,61.5,-999,-999,78.5,60,41,61,55.5,46,50.5,62.5,48.5
400,100,58.75,29.75,46,48.5,-999,-999,77.5,78,45.5,46.5,75,58.5,51,56,69,73
400,200,-999,24.5,49,48.5,57,-999,-999,-999,70.5,62.5,-999,56.5,67,54.5,90,69
400,300,-999,26.25,50,46.5,69.5,-999,-999,-999,-999,67,114,63.5,57,80.5,79,109.5
400,400,-999,27,53,47.5,42,73,59,53,56,55,41,52,-999,-999,64,74.5
400,500,-999,21.75,45,39,79.5,70,65,81,64,-999,-999,-999,85,76.5,71,71
400,600,-999,29.75,44,37.5,52.5,57.5,67,71,50,28.5,57,43,53,69.5,42,45
400,700,-999,34.25,68,59,50,62,65,59.5,53,-999,56.5,-999,44,-999,-999,-999
400,800,-999,27.75,54,59,51.5,59.5,52,62.5,49.5,63.5,55,51,39,51,51,48.5
400,900,62.5,31,53,37,66,48,48,64.5,48,49,46.5,54.5,57,67,63,69.5
400,1000,93.75,28,61,44.5,54.5,40.5,61,56.5,46,49,42,53.5,57,60,54,62
500,0,53.75,26.3,46,43,-999,-999,-999,-999,71,63,-999,48,68,69,76,76
500,100,48.75,29,79,55,65,-999,-999,-999,52,58,-999,74,72,65,85.5,69.5
500,200,-999,27,50,50,68,-999,-999,69.5,-999,66,73,56,73,60,78.5,73
500,300,-999,27,55,47.5,57,-999,-999,-999,-999,50.5,-999,61,68,60,77,57
500,400,-999,25,48,44,78,45.5,80,75,-999,64.5,-999,43,57,48,63,67
500,500,-999,26.25,60,48,72,72.5,60.5,93,59,-999,73,77,69,66.5,97,71.5
500,600,-999,27.75,66,53,55,60,52.5,67,44,68,60,-999,69,55,74.5,57.5
500,700,-999,23.75,49,54,49,-999,52,56.5,51,51,44.5,49.5,-999,-999,-999,-999
500,800,-999,30.25,48,32,68.5,65,62,59.5,59,73.5,58.5,55,74,73.5,-999,-999
500,900,57.5,24.75,41,39,63.5,62,50,62,55,52,43.5,49,49,54,55,60
500,1000,55,24.5,50,43,56.5,49,47,55,46,45.5,47.5,51.5,68,45.5,38,70
600,0,58.75,30,44,47.5,-999,-999,-999,-999,-999,78.5,-999,60.5,62,58.5,58,84
600,100,61.25,28.25,46,45.5,57,94,108,-999,52,49,-999,55,48,62,53,62.5
600,200,-999,27,52,44.5,46,70,60,69.5,57.5,48,59,47,46,57,59.5,66
600,300,-999,32.75,54,46,58.5,47.5,61.5,63.5,47.5,59.5,51,50,53,51,53,69
600,400,-999,29,54,48.5,49.5,52.5,68,65.5,44,67.5,56,63,64,57.5,56,73
600,500,-999,30.25,50,52.5,57.5,58,59.5,68.5,45,54.5,55.5,53,52,52,61,83.5
600,600,-999,32,62,59,55.5,57.5,63.5,70.5,55.5,53.5,60.5,57.5,56,59.5,61.5,72
600,700,-999,29,47,43,55.5,-999,73.5,53,56.5,59.5,50.5,48,52,53,63,67.5
600,800,-999,30.75,52,44,54.5,67,65,63,59,87,50.5,65,58,59.5,50.5,63.5
600,900,62.5,29.75,57,44.5,67.5,67,51.5,56.5,59,74,53,70,61,65,62.5,60.5
600,1000,57.5,25,49,42.5,71.5,58,53,54.5,57.5,55,46,47.5,48,50,64.5,62
700,0,55,33,47,51,59,55,-999,71,51.5,67.5,45.5,51.5,59,60.5,75.5,78.5
700,100,53.75,31.25,47,43.5,57.5,54,87.5,58.5,47,45.5,73,37.5,50,60,53.5,63
700,200,-999,28.5,60,45,66,61,57.5,72,51,39.5,44.5,49.5,62,61.5,60.5,68
700,300,-999,31,42,41.5,53.5,62.5,56,77,47,48.5,59.5,52.5,59,68,72.5,69.5
700,400,-999,30.75,53,45,78,72.5,79,86,59.5,52,57,51,57,68,60,71.5
700,500,-999,31.5,48,36,65,61,57.5,70.5,60,37,57,67,48,72,52.5,47
700,600,-999,29,48,51,57.5,66,66,68,49.5,50.5,63.5,59.5,61,66.5,72.5,70.5
700,700,-999,31.75,53,48,56,52.5,65,63,55,46.5,53.5,49.5,54,59.5,60.5,64.5
700,800,-999,26.5,51,32,61.5,46,66.5,54,56,48.5,57.5,51.5,59,68.5,71.5,66.5
700,900,42.5,26,40,31,95,80,49,59,66,46.5,52.5,45,41,55,58,49
700,1000,55,30.5,46,45,60.5,57,50,67,61.5,54.5,56,49,54,57.5,64.5,68
800,0,65,29.6,47,54,63,57,58,63.5,61.5,54.5,45.5,43.5,72,73.5,66.5,99
800,100,58.75,37.25,69,69.5,61,57.5,70.5,69,48.5,76.5,59,75,79,78.5,86.5,101
800,200,-999,27,52,54,68,67,68,66.5,67.5,74,60,71.5,76,64.5,75,67.5
800,300,-999,34.25,47,46,62,62.5,64.5,66,46.5,58,54.5,51.5,70,44.5,61,59.5
800,400,-999,32.25,58,50.5,51,73.5,77,75,49,54.5,49,59.5,65,60.5,60.5,69
800,500,-999,31.5,50,43.5,65,74,68,76.5,53.5,51,62.5,54.5,78,48.5,49.5,47.5
800,600,-999,31,45,51.5,49.5,65.5,64,62.5,-999,52.5,59,47,68,55.5,53.5,63.5
800,700,-999,28.5,62,46.5,58,61.5,64,50.5,61,58.5,51,55,68,55,61,70
800,800,-999,29.25,43,44,74,64.5,73,62,62,58,66,57.5,69,55,58.5,68.5
800,900,51.25,26.5,40,28.5,70,67,61,85.5,58.5,52.5,63,50,56,50,56,61
800,1000,53.75,29,42,39.5,77,80,63,73,83,58,68,55,63,49,57.5,61.5
900,0,75,47.6,64,59,72.5,53.5,75,96,61.5,70.5,73,54.5,51,61.5,57.5,66.5
900,100,62.5,30.5,50,48.5,63,79.5,70.5,70,67.5,50.5,64,54,52,57,50.5,65
900,200,70,36.5,56,54,65,64,57,68.5,47.5,57.5,54.5,54,56,56.5,64.5,76
900,300,63.75,37.75,45,42.5,70.5,69,62,67,59.5,69,61.5,53,50,63,72,84.5
900,400,63.75,36.5,63,50,59.5,68.5,72,77,53.5,54.5,52,48,46,60.5,59,62.5
900,500,68.75,31,51,53,69.5,69,68.5,74.5,51,59,68.5,50,57,67.5,58.5,59.5
900,600,61.25,34,57,47.5,53,64,64,80,50,51.5,67.5,48,49,62,51,71
900,700,45,32.75,40,37,40.5,54.5,79.5,59.5,43.5,51,43.5,41,40,53.5,52.5,70
900,800,55,25.75,47,40,78,85.5,66.5,77,71,50,72.5,42,42,50.5,50.5,66
900,900,52.5,32,55,38,51,56,62,84,46.5,45,59,-999,41,59,55,62
900,1000,66.25,39,47,39,-999,74.5,67.5,90,-999,-999,81.5,-999,-999,-999,-999,68
